raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,-1.384258212056011e-05,385279,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.8466750488150865e-05,385279,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00010002346243709326,385280,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0003528738161548972,385280,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00026692458777688444,385281,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00018818385433405638,385281,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.000439508818089962,385282,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.170552660478279e-05,385282,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.63609423302114e-05,385283,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0002531349309720099,385283,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010209433094132692,385284,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.0428339010104537e-06,385284,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00017246235802304,385285,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00042023856076411903,385285,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.835027645342052e-05,385286,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.763260848354548e-05,385286,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.556765922345221e-06,385287,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00026109354803338647,385287,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00025902147172018886,385288,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00030712172156199813,385288,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001504332758486271,385289,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00037378715933300555,385289,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00012365759175736457,385290,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.956820238381624e-05,385290,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.878978218883276e-05,385291,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0003954764106310904,385291,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0003460498119238764,385292,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0002865967690013349,385292,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.0738276361953467e-05,385293,32.0,0.5,1.0,1.0,0.0,32.0,0.5
