mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,-9.68497715803096e-07,0.0,1.0,0.5,58488.0,32.0
1.0,32.0,0.5,1.0,-2.1025397245466593e-06,0.0,1.0,0.5,58489.0,32.0
1.0,32.0,0.5,1.0,2.5378832333444734e-06,0.0,1.0,0.5,58490.0,32.0
1.0,32.0,0.5,1.0,1.173299835954822e-06,0.0,1.0,0.5,58491.0,32.0
1.0,32.0,0.5,1.0,-2.48035598815477e-06,0.0,1.0,0.5,58492.0,32.0
1.0,32.0,0.5,1.0,2.116635585025506e-06,0.0,1.0,0.5,58493.0,32.0
1.0,32.0,0.5,1.0,-6.549455065396614e-06,0.0,1.0,0.5,58494.0,32.0
1.0,32.0,0.5,1.0,-1.6145760639574291e-06,0.0,1.0,0.5,58495.0,32.0
1.0,32.0,0.5,1.0,5.728498990720254e-07,0.0,1.0,0.5,58496.0,32.0
1.0,32.0,0.5,1.0,-4.7626826926716603e-07,0.0,1.0,0.5,58497.0,32.0
1.0,32.0,0.5,1.0,-1.308141577283095e-07,0.0,1.0,0.5,58498.0,32.0
1.0,32.0,0.5,1.0,3.7070407188366516e-06,0.0,1.0,0.5,58499.0,32.0
1.0,32.0,0.5,1.0,1.785659151209984e-06,0.0,1.0,0.5,58500.0,32.0
1.0,32.0,0.5,1.0,6.334132649499224e-07,0.0,1.0,0.5,58501.0,32.0
1.0,32.0,0.5,1.0,1.5059116549309692e-06,0.0,1.0,0.5,58502.0,32.0
1.0,32.0,0.5,1.0,-1.2740788406517822e-06,0.0,1.0,0.5,58503.0,32.0
1.0,32.0,0.5,1.0,-3.6049827656370326e-07,0.0,1.0,0.5,58504.0,32.0
1.0,32.0,0.5,1.0,3.0286093135600822e-06,0.0,1.0,0.5,58505.0,32.0
1.0,32.0,0.5,1.0,-4.11609175898775e-06,0.0,1.0,0.5,58506.0,32.0
1.0,32.0,0.5,1.0,-3.3118407145593665e-06,0.0,1.0,0.5,58507.0,32.0
1.0,32.0,0.5,1.0,1.4858175063636736e-06,0.0,1.0,0.5,58508.0,32.0
1.0,32.0,0.5,1.0,-5.798675033474865e-07,0.0,1.0,0.5,58509.0,32.0
1.0,32.0,0.5,1.0,1.2959479818164255e-06,0.0,1.0,0.5,58510.0,32.0
1.0,32.0,0.5,1.0,-5.960412181593711e-07,0.0,1.0,0.5,58511.0,32.0
1.0,32.0,0.5,1.0,2.250579768769967e-06,0.0,1.0,0.5,58512.0,32.0
1.0,32.0,0.5,1.0,-2.762088456620404e-06,0.0,1.0,0.5,58513.0,32.0
1.0,32.0,0.5,1.0,4.285477189114317e-06,0.0,1.0,0.5,58514.0,32.0
1.0,32.0,0.5,1.0,-2.8675507337538875e-06,0.0,1.0,0.5,58515.0,32.0
1.0,32.0,0.5,1.0,-8.492202709931007e-07,0.0,1.0,0.5,58516.0,32.0
1.0,32.0,0.5,1.0,3.94555081584258e-06,0.0,1.0,0.5,58517.0,32.0
1.0,32.0,0.5,1.0,-2.4813923857891496e-06,0.0,1.0,0.5,58518.0,32.0
1.0,32.0,0.5,1.0,3.534046982167638e-06,0.0,1.0,0.5,58519.0,32.0
1.0,32.0,0.5,1.0,3.2970075380944763e-07,0.0,1.0,0.5,58520.0,32.0
1.0,32.0,0.5,1.0,-1.7337185909127584e-08,0.0,1.0,0.5,58521.0,32.0
1.0,32.0,0.5,1.0,-1.963261411219719e-06,0.0,1.0,0.5,58522.0,32.0
1.0,32.0,0.5,1.0,1.3401260048340191e-06,0.0,1.0,0.5,58523.0,32.0
1.0,32.0,0.5,1.0,-9.435734682483599e-07,0.0,1.0,0.5,58524.0,32.0
1.0,32.0,0.5,1.0,-1.3635114441967744e-06,0.0,1.0,0.5,58525.0,32.0
1.0,32.0,0.5,1.0,3.028731384802086e-06,0.0,1.0,0.5,58526.0,32.0
1.0,32.0,0.5,1.0,2.2727112991560716e-07,0.0,1.0,0.5,58527.0,32.0
1.0,32.0,0.5,1.0,-1.8944101043416595e-06,0.0,1.0,0.5,58528.0,32.0
1.0,32.0,0.5,1.0,5.63941080145014e-06,0.0,1.0,0.5,58529.0,32.0
1.0,32.0,0.5,1.0,-9.26081611396512e-08,0.0,1.0,0.5,58530.0,32.0
1.0,32.0,0.5,1.0,-3.978624135925202e-06,0.0,1.0,0.5,58531.0,32.0
1.0,32.0,0.5,1.0,-2.922225803558831e-06,0.0,1.0,0.5,58532.0,32.0
1.0,32.0,0.5,1.0,6.82809229601844e-07,0.0,1.0,0.5,58533.0,32.0
1.0,32.0,0.5,1.0,-1.1474078291939804e-06,0.0,1.0,0.5,58534.0,32.0
1.0,32.0,0.5,1.0,-5.626675374514889e-07,0.0,1.0,0.5,58535.0,32.0
1.0,32.0,0.5,1.0,-3.884818738697504e-06,0.0,1.0,0.5,58536.0,32.0
1.0,32.0,0.5,1.0,-1.9543734310900618e-06,0.0,1.0,0.5,58537.0,32.0
1.0,32.0,0.5,1.0,-2.84953591744852e-06,0.0,1.0,0.5,58538.0,32.0
1.0,32.0,0.5,1.0,-4.530711521510966e-07,0.0,1.0,0.5,58539.0,32.0
1.0,32.0,0.5,1.0,6.681234481220599e-07,0.0,1.0,0.5,58540.0,32.0
1.0,32.0,0.5,1.0,-1.8605271634442033e-06,0.0,1.0,0.5,58541.0,32.0
1.0,32.0,0.5,1.0,-1.9950545038227574e-06,0.0,1.0,0.5,58542.0,32.0
1.0,32.0,0.5,1.0,2.389023507021193e-06,0.0,1.0,0.5,58543.0,32.0
1.0,32.0,0.5,1.0,3.2676890668881242e-06,0.0,1.0,0.5,58544.0,32.0
1.0,32.0,0.5,1.0,-2.2030582158549805e-07,0.0,1.0,0.5,58545.0,32.0
1.0,32.0,0.5,1.0,6.971033599256771e-07,0.0,1.0,0.5,58546.0,32.0
1.0,32.0,0.5,1.0,2.018078021137626e-06,0.0,1.0,0.5,58547.0,32.0
1.0,32.0,0.5,1.0,3.7586957546409394e-06,0.0,1.0,0.5,58548.0,32.0
1.0,32.0,0.5,1.0,2.5808804480220715e-06,0.0,1.0,0.5,58549.0,32.0
1.0,32.0,0.5,1.0,3.871482022077544e-06,0.0,1.0,0.5,58550.0,32.0
1.0,32.0,0.5,1.0,-3.829458051995971e-06,0.0,1.0,0.5,58551.0,32.0
1.0,32.0,0.5,1.0,-5.813118491460045e-06,0.0,1.0,0.5,58552.0,32.0
1.0,32.0,0.5,1.0,3.376531026333396e-06,0.0,1.0,0.5,58553.0,32.0
1.0,32.0,0.5,1.0,3.560935169844015e-06,0.0,1.0,0.5,58554.0,32.0
1.0,32.0,0.5,1.0,-1.1389661835892184e-06,0.0,1.0,0.5,58555.0,32.0
1.0,32.0,0.5,1.0,-3.847759103337012e-06,0.0,1.0,0.5,58556.0,32.0
1.0,32.0,0.5,1.0,-6.765000534869614e-06,0.0,1.0,0.5,58557.0,32.0
1.0,32.0,0.5,1.0,-1.2215599554110668e-06,0.0,1.0,0.5,58558.0,32.0
1.0,32.0,0.5,1.0,2.3551860977022443e-06,0.0,1.0,0.5,58559.0,32.0
1.0,32.0,0.5,1.0,5.905249054194428e-07,0.0,1.0,0.5,58560.0,32.0
1.0,32.0,0.5,1.0,5.64873498376528e-06,0.0,1.0,0.5,58561.0,32.0
1.0,32.0,0.5,1.0,-5.154338396096136e-07,0.0,1.0,0.5,58562.0,32.0
1.0,32.0,0.5,1.0,4.5372156591838575e-06,0.0,1.0,0.5,58563.0,32.0
1.0,32.0,0.5,1.0,1.4002418993186438e-06,0.0,1.0,0.5,58564.0,32.0
1.0,32.0,0.5,1.0,-7.271436516020913e-06,0.0,1.0,0.5,58565.0,32.0
1.0,32.0,0.5,1.0,6.246609927984537e-06,0.0,1.0,0.5,58566.0,32.0
1.0,32.0,0.5,1.0,-6.239842150534969e-06,0.0,1.0,0.5,58567.0,32.0
1.0,32.0,0.5,1.0,3.4330817584304896e-06,0.0,1.0,0.5,58568.0,32.0
1.0,32.0,0.5,1.0,-8.907064739105408e-07,0.0,1.0,0.5,58569.0,32.0
