mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120247.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120248.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120249.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120250.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120251.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120252.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120253.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120254.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120255.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120256.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120257.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120258.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120259.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120260.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120261.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120262.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120263.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120264.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120265.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120266.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120267.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120268.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120269.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120270.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120271.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120272.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120273.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120274.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120275.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120276.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120277.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120278.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,120279.0
