raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,0.00013433500134851784,258898,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.671526453923434e-05,258898,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.318788655335084e-05,258899,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.939696711720899e-05,258899,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00013942603254690766,258900,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.096193904639222e-05,258900,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00012205362145323306,258901,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00025119396741501987,258901,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.73208269290626e-05,258902,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00013247107563074678,258902,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00011736140004359186,258903,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.475303285289556e-05,258903,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.6968738893629052e-05,258904,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010052715515485033,258904,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.071803464787081e-06,258905,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011412450112402439,258905,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.1973562221974134e-05,258906,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.545755215687677e-05,258906,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00017867778660729527,258907,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011777316103689373,258907,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.881404599174857e-06,258908,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00018045640899799764,258908,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.870311259874143e-06,258909,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.19257635762915e-05,258909,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.2327388655394316e-05,258910,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00014398919302038848,258910,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001703792659100145,258911,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.14181291591376e-05,258911,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00021106316125951707,258912,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001828680105973035,258912,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001817106967791915,258913,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.6624102247296833e-05,258913,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.006938151083887e-05,258914,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.00422640168108e-07,258914,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00014501714031212032,258915,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.211980457417667e-06,258915,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.832908497424796e-05,258916,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.874790127156302e-05,258916,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.195590973831713e-05,258917,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00014471558097284287,258917,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.858705430408008e-06,258918,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00010558279609540477,258918,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.266024941694923e-05,258919,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.118237484362908e-06,258919,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.705325823626481e-05,258920,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00021007824398111552,258920,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.208013216266409e-05,258921,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00023174344096332788,258921,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.110984395490959e-05,258922,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.385945016518235e-05,258922,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.3558885257225484e-05,258923,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.546547254198231e-05,258923,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.0816707547055557e-05,258924,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014577130787074566,258924,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.856953844660893e-05,258925,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00011970179912168533,258925,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.228861457202584e-05,258926,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.798823596909642e-05,258926,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.030397682683542e-06,258927,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.684077329235151e-05,258927,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.625825047492981e-05,258928,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.6789210349088535e-05,258928,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.118067151168361e-05,258929,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00026023530517704785,258929,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.030059012118727e-07,258930,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00020994122314732522,258930,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.188623956404626e-05,258931,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.730195698561147e-05,258931,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00012607776443473995,258932,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.319963434478268e-05,258932,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.194103166810237e-05,258933,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.642906863708049e-05,258933,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.170931449858472e-05,258934,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010532224405324087,258934,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014810521679464728,258935,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00024793780175969005,258935,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.385841773706488e-05,258936,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.4573458833619952e-06,258936,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.853592640254647e-05,258937,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00019422758487053216,258937,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.7318678146693856e-05,258938,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.832720747392159e-05,258938,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.393512350972742e-05,258939,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00010167116124648601,258939,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.504922122170683e-05,258940,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.153457717213314e-05,258940,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010625567665556446,258941,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.822514554485679e-05,258941,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011507557064760476,258942,32.0,0.5,1.0,1.0,0.0,32.0,0.5
