raw/disc/disc_loss,raw/disc/disc_proportion_expert_true,raw/disc/n_generated,raw/disc/disc_entropy,raw/disc/disc_proportion_expert_pred,raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/global_step
0.5927140712738037,0.5,32.0,0.6752644777297974,0.796875,32.0,0.40625,1.0,0.703125,1
0.5657811164855957,0.5,32.0,0.6647461652755737,0.796875,32.0,0.40625,1.0,0.703125,1
0.5454702377319336,0.5,32.0,0.6581965684890747,0.703125,32.0,0.59375,1.0,0.796875,2
0.5399705171585083,0.5,32.0,0.6525583863258362,0.765625,32.0,0.46875,1.0,0.734375,2
0.5248883962631226,0.5,32.0,0.6483554244041443,0.6875,32.0,0.625,1.0,0.8125,3
0.5234292149543762,0.5,32.0,0.6464441418647766,0.796875,32.0,0.40625,1.0,0.703125,3
0.5163396000862122,0.5,32.0,0.6376510858535767,0.8125,32.0,0.375,1.0,0.6875,4
0.5220558643341064,0.5,32.0,0.6450299024581909,0.75,32.0,0.5,1.0,0.75,4
0.4990672171115875,0.5,32.0,0.6232668161392212,0.78125,32.0,0.4375,1.0,0.71875,5
0.5029447674751282,0.5,32.0,0.6215951442718506,0.828125,32.0,0.34375,1.0,0.671875,5
0.4903743863105774,0.5,32.0,0.6229496002197266,0.703125,32.0,0.59375,1.0,0.796875,6
0.4804617464542389,0.5,32.0,0.6100676655769348,0.734375,32.0,0.53125,1.0,0.765625,6
0.49122464656829834,0.5,32.0,0.6128831505775452,0.796875,32.0,0.40625,1.0,0.703125,7
0.4786781668663025,0.5,32.0,0.6034831404685974,0.765625,32.0,0.46875,1.0,0.734375,7
0.530348002910614,0.5,32.0,0.5996379852294922,0.75,32.0,0.5,1.0,0.75,8
0.503545343875885,0.5,32.0,0.602708637714386,0.828125,32.0,0.34375,1.0,0.671875,8
0.5103190541267395,0.5,32.0,0.5893916487693787,0.875,32.0,0.25,1.0,0.625,9
0.5177943706512451,0.5,32.0,0.5815978050231934,0.875,32.0,0.25,1.0,0.625,9
0.4970192313194275,0.5,32.0,0.5921321511268616,0.828125,32.0,0.34375,1.0,0.671875,10
0.5057655572891235,0.5,32.0,0.5808339715003967,0.828125,32.0,0.34375,1.0,0.671875,10
0.5614659786224365,0.5,32.0,0.5990506410598755,0.953125,32.0,0.09375,1.0,0.546875,11
0.5506727695465088,0.5,32.0,0.5885447263717651,0.890625,32.0,0.21875,1.0,0.609375,11
0.5670820474624634,0.5,32.0,0.6146310567855835,0.921875,32.0,0.15625,1.0,0.578125,12
0.5539714694023132,0.5,32.0,0.5998317003250122,0.875,32.0,0.21875,0.96875,0.59375,12
0.6060241460800171,0.5,32.0,0.6382108330726624,0.890625,32.0,0.1875,0.96875,0.578125,13
0.5897982716560364,0.5,32.0,0.6367405652999878,0.875,32.0,0.21875,0.96875,0.59375,13
0.5691401362419128,0.5,32.0,0.6465895771980286,0.859375,32.0,0.28125,1.0,0.640625,14
0.6027460694313049,0.5,32.0,0.6484980583190918,0.859375,32.0,0.25,0.96875,0.609375,14
0.6426609754562378,0.5,32.0,0.654491662979126,0.796875,32.0,0.25,0.84375,0.546875,15
0.6470920443534851,0.5,32.0,0.6581994295120239,0.890625,32.0,0.21875,1.0,0.609375,15
0.6328185796737671,0.5,32.0,0.6704814434051514,0.75,32.0,0.40625,0.90625,0.65625,16
0.6183236837387085,0.5,32.0,0.6690771579742432,0.640625,32.0,0.59375,0.875,0.734375,16
0.6268937587738037,0.5,32.0,0.6716551184654236,0.6875,32.0,0.46875,0.84375,0.65625,17
0.624467134475708,0.5,32.0,0.6767194271087646,0.671875,32.0,0.5625,0.90625,0.734375,17
0.6220057010650635,0.5,32.0,0.6799362897872925,0.546875,32.0,0.59375,0.6875,0.640625,18
0.638059139251709,0.5,32.0,0.6809127330780029,0.578125,32.0,0.59375,0.75,0.671875,18
