mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,-0.00019247626914875582,0.0,1.0,0.5,391414.0,32.0
1.0,32.0,0.5,1.0,-0.00023508202866651118,0.0,1.0,0.5,391415.0,32.0
1.0,32.0,0.5,1.0,0.00010792145621962845,0.0,1.0,0.5,391416.0,32.0
1.0,32.0,0.5,1.0,-5.32136473339051e-05,0.0,1.0,0.5,391417.0,32.0
1.0,32.0,0.5,1.0,-0.00017157598631456494,0.0,1.0,0.5,391418.0,32.0
0.9921875,32.0,0.5078125,0.984375,29.892158109651064,0.0,1.0,0.5,391419.0,32.0
1.0,32.0,0.5,1.0,0.00024369584571104497,0.0,1.0,0.5,391420.0,32.0
1.0,32.0,0.5,1.0,-3.623554948717356e-05,0.0,1.0,0.5,391421.0,32.0
1.0,32.0,0.5,1.0,0.00024065072648227215,0.0,1.0,0.5,391422.0,32.0
1.0,32.0,0.5,1.0,-5.921226693317294e-05,0.0,1.0,0.5,391423.0,32.0
1.0,32.0,0.5,1.0,-1.8348771845921874e-05,0.0,1.0,0.5,391424.0,32.0
1.0,32.0,0.5,1.0,-0.0002361130536883138,0.0,1.0,0.5,391425.0,32.0
1.0,32.0,0.5,1.0,0.0002240420872112736,0.0,1.0,0.5,391426.0,32.0
1.0,32.0,0.5,1.0,5.627805512631312e-05,0.0,1.0,0.5,391427.0,32.0
1.0,32.0,0.5,1.0,-0.00016895634325919673,0.0,1.0,0.5,391428.0,32.0
1.0,32.0,0.5,1.0,0.00011520590123836882,0.0,1.0,0.5,391429.0,32.0
1.0,32.0,0.5,1.0,0.00016102532390505075,0.0,1.0,0.5,391430.0,32.0
1.0,32.0,0.5,1.0,-0.0003649035788839683,0.0,1.0,0.5,391431.0,32.0
1.0,32.0,0.5,1.0,2.6239264116156846e-05,0.0,1.0,0.5,391432.0,32.0
1.0,32.0,0.5,1.0,0.00018902008014265448,0.0,1.0,0.5,391433.0,32.0
1.0,32.0,0.5,1.0,0.00018793395429383963,0.0,1.0,0.5,391434.0,32.0
1.0,32.0,0.5,1.0,2.9442075174301863e-05,0.0,1.0,0.5,391435.0,32.0
1.0,32.0,0.5,1.0,0.00010101934458361939,0.0,1.0,0.5,391436.0,32.0
1.0,32.0,0.5,1.0,8.172612433554605e-05,0.0,1.0,0.5,391437.0,32.0
1.0,32.0,0.5,1.0,-7.304822429432534e-05,0.0,1.0,0.5,391438.0,32.0
1.0,32.0,0.5,1.0,-0.00030644144862890244,0.0,1.0,0.5,391439.0,32.0
1.0,32.0,0.5,1.0,1.8886872567236423e-05,0.0,1.0,0.5,391440.0,32.0
0.9921875,32.0,0.4921875,1.0,16.126620327821,0.0,0.984375,0.5,391441.0,32.0
1.0,32.0,0.5,1.0,-0.0002913939533755183,0.0,1.0,0.5,391442.0,32.0
1.0,32.0,0.5,1.0,-0.0003946147990063764,0.0,1.0,0.5,391443.0,32.0
1.0,32.0,0.5,1.0,0.0001801371545298025,0.0,1.0,0.5,391444.0,32.0
1.0,32.0,0.5,1.0,-6.785570803913288e-05,0.0,1.0,0.5,391445.0,32.0
1.0,32.0,0.5,1.0,0.000244560567807639,0.0,1.0,0.5,391446.0,32.0
1.0,32.0,0.5,1.0,-0.0003402765141800046,0.0,1.0,0.5,391447.0,32.0
1.0,32.0,0.5,1.0,0.0003215904944227077,0.0,1.0,0.5,391448.0,32.0
1.0,32.0,0.5,1.0,1.70208077179268e-05,0.0,1.0,0.5,391449.0,32.0
1.0,32.0,0.5,1.0,0.00020104198483750224,0.0,1.0,0.5,391450.0,32.0
1.0,32.0,0.5,1.0,4.110141162527725e-06,0.0,1.0,0.5,391451.0,32.0
1.0,32.0,0.5,1.0,-0.0003020787116838619,0.0,1.0,0.5,391452.0,32.0
1.0,32.0,0.5,1.0,-6.597172614419833e-05,0.0,1.0,0.5,391453.0,32.0
1.0,32.0,0.5,1.0,0.00018871895736083388,0.0,1.0,0.5,391454.0,32.0
1.0,32.0,0.5,1.0,-0.0002043736822088249,0.0,1.0,0.5,391455.0,32.0
1.0,32.0,0.5,1.0,1.867413811851293e-05,0.0,1.0,0.5,391456.0,32.0
1.0,32.0,0.5,1.0,0.0003499821905279532,0.0,1.0,0.5,391457.0,32.0
1.0,32.0,0.5,1.0,1.8018134142039344e-05,0.0,1.0,0.5,391458.0,32.0
1.0,32.0,0.5,1.0,-9.310932364314795e-05,0.0,1.0,0.5,391459.0,32.0
1.0,32.0,0.5,1.0,-0.0001220895501319319,0.0,1.0,0.5,391460.0,32.0
1.0,32.0,0.5,1.0,-0.00023804985903552733,0.0,1.0,0.5,391461.0,32.0
1.0,32.0,0.5,1.0,-1.8516970158088952e-05,0.0,1.0,0.5,391462.0,32.0
1.0,32.0,0.5,1.0,-8.001967580639757e-05,0.0,1.0,0.5,391463.0,32.0
1.0,32.0,0.5,1.0,0.00032840922358445823,0.0,1.0,0.5,391464.0,32.0
1.0,32.0,0.5,1.0,0.00023432775924447924,0.0,1.0,0.5,391465.0,32.0
1.0,32.0,0.5,1.0,0.00020321404008427635,0.0,1.0,0.5,391466.0,32.0
1.0,32.0,0.5,1.0,0.000123020370665472,0.0,1.0,0.5,391467.0,32.0
0.9921875,32.0,0.4921875,1.0,16.78406557967537,0.0,0.984375,0.5,391468.0,32.0
1.0,32.0,0.5,1.0,4.7187277232296765e-06,0.0,1.0,0.5,391469.0,32.0
1.0,32.0,0.5,1.0,6.120825128164142e-05,0.0,1.0,0.5,391470.0,32.0
1.0,32.0,0.5,1.0,0.00030845063156448305,0.0,1.0,0.5,391471.0,32.0
0.9921875,32.0,0.4921875,1.0,8.901376208435977,0.0,0.984375,0.5,391472.0,32.0
1.0,32.0,0.5,1.0,-1.7476369976066053e-05,0.0,1.0,0.5,391473.0,32.0
1.0,32.0,0.5,1.0,-7.074956374708563e-05,0.0,1.0,0.5,391474.0,32.0
1.0,32.0,0.5,1.0,0.00013525228132493794,0.0,1.0,0.5,391475.0,32.0
1.0,32.0,0.5,1.0,4.6193497837521136e-05,0.0,1.0,0.5,391476.0,32.0
1.0,32.0,0.5,1.0,0.0001752837561070919,0.0,1.0,0.5,391477.0,32.0
1.0,32.0,0.5,1.0,0.00021059677965240553,0.0,1.0,0.5,391478.0,32.0
1.0,32.0,0.5,1.0,-0.00019612709002103657,0.0,1.0,0.5,391479.0,32.0
1.0,32.0,0.5,1.0,3.627793921623379e-05,0.0,1.0,0.5,391480.0,32.0
1.0,32.0,0.5,1.0,-0.00014345747331390157,0.0,1.0,0.5,391481.0,32.0
1.0,32.0,0.5,1.0,-0.000210049249290023,0.0,1.0,0.5,391482.0,32.0
1.0,32.0,0.5,1.0,-0.00023886762937763706,0.0,1.0,0.5,391483.0,32.0
1.0,32.0,0.5,1.0,0.00012813776993425563,0.0,1.0,0.5,391484.0,32.0
1.0,32.0,0.5,1.0,4.316321428632364e-05,0.0,1.0,0.5,391485.0,32.0
1.0,32.0,0.5,1.0,3.776185621973127e-06,0.0,1.0,0.5,391486.0,32.0
1.0,32.0,0.5,1.0,7.989399455254897e-05,0.0,1.0,0.5,391487.0,32.0
1.0,32.0,0.5,1.0,3.664589166874066e-05,0.0,1.0,0.5,391488.0,32.0
1.0,32.0,0.5,1.0,0.00023660135047975928,0.0,1.0,0.5,391489.0,32.0
1.0,32.0,0.5,1.0,0.00032152926723938435,0.0,1.0,0.5,391490.0,32.0
1.0,32.0,0.5,1.0,0.0002179800740123028,0.0,1.0,0.5,391491.0,32.0
1.0,32.0,0.5,1.0,-0.00010223667050013319,0.0,1.0,0.5,391492.0,32.0
1.0,32.0,0.5,1.0,-0.00018724171968642622,0.0,1.0,0.5,391493.0,32.0
1.0,32.0,0.5,1.0,-5.178499122848734e-05,0.0,1.0,0.5,391494.0,32.0
1.0,32.0,0.5,1.0,-7.264234591275454e-05,0.0,1.0,0.5,391495.0,32.0
1.0,32.0,0.5,1.0,-3.264964107074775e-05,0.0,1.0,0.5,391496.0,32.0
1.0,32.0,0.5,1.0,2.072009738185443e-05,0.0,1.0,0.5,391497.0,32.0
1.0,32.0,0.5,1.0,-7.969038415467367e-05,0.0,1.0,0.5,391498.0,32.0
1.0,32.0,0.5,1.0,6.373762153089046e-05,0.0,1.0,0.5,391499.0,32.0
1.0,32.0,0.5,1.0,-0.000638610843452625,0.0,1.0,0.5,391500.0,32.0
1.0,32.0,0.5,1.0,2.087489701807499e-05,0.0,1.0,0.5,391501.0,32.0
1.0,32.0,0.5,1.0,0.00018891735817305744,0.0,1.0,0.5,391502.0,32.0
1.0,32.0,0.5,1.0,-0.00019216047985537443,0.0,1.0,0.5,391503.0,32.0
1.0,32.0,0.5,1.0,-0.00019307452748762444,0.0,1.0,0.5,391504.0,32.0
1.0,32.0,0.5,1.0,0.00025894426289596595,0.0,1.0,0.5,391505.0,32.0
1.0,32.0,0.5,1.0,-0.00024082390882540494,0.0,1.0,0.5,391506.0,32.0
1.0,32.0,0.5,1.0,-0.0001318084541708231,0.0,1.0,0.5,391507.0,32.0
0.984375,32.0,0.515625,0.96875,174.57386016845703,0.0,1.0,0.5,391508.0,32.0
1.0,32.0,0.5,1.0,-0.0003252388705732301,0.0,1.0,0.5,391509.0,32.0
1.0,32.0,0.5,1.0,-0.00031000054150354117,0.0,1.0,0.5,391510.0,32.0
1.0,32.0,0.5,1.0,-6.47531560389325e-05,0.0,1.0,0.5,391511.0,32.0
1.0,32.0,0.5,1.0,-5.257184966467321e-06,0.0,1.0,0.5,391512.0,32.0
1.0,32.0,0.5,1.0,0.00019398997756070457,0.0,1.0,0.5,391513.0,32.0
1.0,32.0,0.5,1.0,-0.00010799357187352143,0.0,1.0,0.5,391514.0,32.0
1.0,32.0,0.5,1.0,-9.357733506476507e-05,0.0,1.0,0.5,391515.0,32.0
0.9921875,32.0,0.5078125,0.984375,47.191278290963965,0.0,1.0,0.5,391516.0,32.0
1.0,32.0,0.5,1.0,2.4601467885077e-06,0.0,1.0,0.5,391517.0,32.0
1.0,32.0,0.5,1.0,-0.00030899225384928286,0.0,1.0,0.5,391518.0,32.0
1.0,32.0,0.5,1.0,9.713952749734744e-05,0.0,1.0,0.5,391519.0,32.0
1.0,32.0,0.5,1.0,-0.00011284113134024665,0.0,1.0,0.5,391520.0,32.0
0.9921875,32.0,0.5078125,0.984375,11.742154978855979,0.0,1.0,0.5,391521.0,32.0
1.0,32.0,0.5,1.0,-0.0006679357320535928,0.0,1.0,0.5,391522.0,32.0
0.9765625,32.0,0.5234375,0.953125,66.84733772277832,0.0,1.0,0.5,391523.0,32.0
1.0,32.0,0.5,1.0,2.9150862246751785e-05,0.0,1.0,0.5,391524.0,32.0
1.0,32.0,0.5,1.0,-0.00038101128302514553,0.0,1.0,0.5,391525.0,32.0
1.0,32.0,0.5,1.0,0.0005861889512743801,0.0,1.0,0.5,391526.0,32.0
1.0,32.0,0.5,1.0,0.00023385929671349004,0.0,1.0,0.5,391527.0,32.0
1.0,32.0,0.5,1.0,0.0001859168623923324,0.0,1.0,0.5,391528.0,32.0
1.0,32.0,0.5,1.0,-0.0004186785954516381,0.0,1.0,0.5,391529.0,32.0
1.0,32.0,0.5,1.0,-0.00030565802444471046,0.0,1.0,0.5,391530.0,32.0
1.0,32.0,0.5,1.0,0.0003354801010573283,0.0,1.0,0.5,391531.0,32.0
1.0,32.0,0.5,1.0,-0.00012444649473764002,0.0,1.0,0.5,391532.0,32.0
1.0,32.0,0.5,1.0,0.0004308614297769964,0.0,1.0,0.5,391533.0,32.0
