mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,-7.576861025881954e-05,0.0,1.0,0.5,258489.0,32.0
1.0,32.0,0.5,1.0,5.32781814399641e-05,0.0,1.0,0.5,258490.0,32.0
1.0,32.0,0.5,1.0,7.843395360396244e-05,0.0,1.0,0.5,258491.0,32.0
1.0,32.0,0.5,1.0,-5.8597121096681803e-05,0.0,1.0,0.5,258492.0,32.0
1.0,32.0,0.5,1.0,-1.1192663805559278e-05,0.0,1.0,0.5,258493.0,32.0
1.0,32.0,0.5,1.0,-2.9525052013923414e-05,0.0,1.0,0.5,258494.0,32.0
1.0,32.0,0.5,1.0,3.361233393661678e-05,0.0,1.0,0.5,258495.0,32.0
1.0,32.0,0.5,1.0,-0.00010287690838595154,0.0,1.0,0.5,258496.0,32.0
1.0,32.0,0.5,1.0,-4.810649261344224e-05,0.0,1.0,0.5,258497.0,32.0
1.0,32.0,0.5,1.0,0.00010307063348591328,0.0,1.0,0.5,258498.0,32.0
1.0,32.0,0.5,1.0,-7.571508285764139e-05,0.0,1.0,0.5,258499.0,32.0
1.0,32.0,0.5,1.0,9.265988137485692e-05,0.0,1.0,0.5,258500.0,32.0
1.0,32.0,0.5,1.0,4.726053884951398e-05,0.0,1.0,0.5,258501.0,32.0
1.0,32.0,0.5,1.0,6.005755676596891e-05,0.0,1.0,0.5,258502.0,32.0
1.0,32.0,0.5,1.0,-2.0135194063186646e-05,0.0,1.0,0.5,258503.0,32.0
1.0,32.0,0.5,1.0,-0.0002460962568875402,0.0,1.0,0.5,258504.0,32.0
1.0,32.0,0.5,1.0,-1.0865751391975209e-05,0.0,1.0,0.5,258505.0,32.0
1.0,32.0,0.5,1.0,8.999327110359445e-05,0.0,1.0,0.5,258506.0,32.0
1.0,32.0,0.5,1.0,-6.973672316235024e-05,0.0,1.0,0.5,258507.0,32.0
1.0,32.0,0.5,1.0,-7.396442651952384e-05,0.0,1.0,0.5,258508.0,32.0
1.0,32.0,0.5,1.0,-3.57351509592263e-05,0.0,1.0,0.5,258509.0,32.0
1.0,32.0,0.5,1.0,-0.00012937338033225387,0.0,1.0,0.5,258510.0,32.0
1.0,32.0,0.5,1.0,4.931826697429642e-05,0.0,1.0,0.5,258511.0,32.0
1.0,32.0,0.5,1.0,6.693311661365442e-05,0.0,1.0,0.5,258512.0,32.0
1.0,32.0,0.5,1.0,2.7323472750140354e-05,0.0,1.0,0.5,258513.0,32.0
1.0,32.0,0.5,1.0,0.00012850865459768102,0.0,1.0,0.5,258514.0,32.0
1.0,32.0,0.5,1.0,-6.381143430189695e-05,0.0,1.0,0.5,258515.0,32.0
1.0,32.0,0.5,1.0,-0.0001250655532203382,0.0,1.0,0.5,258516.0,32.0
1.0,32.0,0.5,1.0,4.5518053411797155e-05,0.0,1.0,0.5,258517.0,32.0
1.0,32.0,0.5,1.0,2.1314728655852377e-05,0.0,1.0,0.5,258518.0,32.0
1.0,32.0,0.5,1.0,0.0001500770158600062,0.0,1.0,0.5,258519.0,32.0
1.0,32.0,0.5,1.0,5.52094861632213e-05,0.0,1.0,0.5,258520.0,32.0
1.0,32.0,0.5,1.0,-3.440633008722216e-05,0.0,1.0,0.5,258521.0,32.0
1.0,32.0,0.5,1.0,-5.0119000661652535e-05,0.0,1.0,0.5,258522.0,32.0
1.0,32.0,0.5,1.0,-2.8813254175474867e-05,0.0,1.0,0.5,258523.0,32.0
1.0,32.0,0.5,1.0,-1.5026109849713976e-05,0.0,1.0,0.5,258524.0,32.0
1.0,32.0,0.5,1.0,1.8051090592052788e-05,0.0,1.0,0.5,258525.0,32.0
1.0,32.0,0.5,1.0,-2.5010071112774312e-05,0.0,1.0,0.5,258526.0,32.0
1.0,32.0,0.5,1.0,3.332841879455373e-05,0.0,1.0,0.5,258527.0,32.0
1.0,32.0,0.5,1.0,1.8388560420135036e-05,0.0,1.0,0.5,258528.0,32.0
1.0,32.0,0.5,1.0,-9.07083522179164e-05,0.0,1.0,0.5,258529.0,32.0
1.0,32.0,0.5,1.0,4.254254236002453e-06,0.0,1.0,0.5,258530.0,32.0
1.0,32.0,0.5,1.0,9.367320308228955e-05,0.0,1.0,0.5,258531.0,32.0
1.0,32.0,0.5,1.0,-0.00014255748465075158,0.0,1.0,0.5,258532.0,32.0
1.0,32.0,0.5,1.0,1.27232324302895e-05,0.0,1.0,0.5,258533.0,32.0
1.0,32.0,0.5,1.0,2.1287822164595127e-05,0.0,1.0,0.5,258534.0,32.0
1.0,32.0,0.5,1.0,3.350140104885213e-06,0.0,1.0,0.5,258535.0,32.0
1.0,32.0,0.5,1.0,2.0764940927620046e-05,0.0,1.0,0.5,258536.0,32.0
1.0,32.0,0.5,1.0,1.0544335964368656e-06,0.0,1.0,0.5,258537.0,32.0
1.0,32.0,0.5,1.0,8.611418525106274e-05,0.0,1.0,0.5,258538.0,32.0
