bc/epoch_num,bc/ent_loss,bc/prob_true_act,bc/batch_num,bc/l2_loss,bc/loss,bc/l2_norm,bc/samples_so_far,bc/entropy,bc/neglogp
0,0.02459840476512909,41907692455.82325,1,0.0,-23.206558381304212,477.4702453613281,32,-24.598403930664062,-23.23115678606934
2,0.024638842791318893,204079742233.01843,501,0.0,-25.970471679548055,477.88079833984375,15998,-24.63884162902832,-25.995110522339374
4,0.024670105427503586,215171101189.66083,1001,0.0,-26.05302093833254,478.3924255371094,31964,-24.67010498046875,-26.077691043760044
6,0.024713784456253052,147824375609.75134,1501,0.0,-25.655389770300694,478.8598937988281,47930,-24.713783264160156,-25.680103554756947
8,0.024781132116913795,244249281024.83783,2001,0.0,-26.122660374562813,479.5068359375,63896,-24.781131744384766,-26.147441506679726
10,0.02486230432987213,98421901418.02568,2501,0.0,-25.22534231465197,480.2629089355469,79862,-24.862302780151367,-25.250204618981844
12,0.02444036677479744,199259311755.9109,3001,0.0,-25.976875653353357,476.2745361328125,95828,-24.440364837646484,-26.001316020128154
14,0.02447809837758541,193073942275.7397,3501,0.0,-25.88732712966707,476.1917419433594,111794,-24.478097915649414,-25.911805228044656
17,0.024481752887368202,196926004253.2929,4001,0.0,-25.935018423056313,476.1271057128906,127743,-24.481752395629883,-25.95950017594368
19,0.024486031383275986,197549378247.41974,4501,0.0,-25.401702847250984,476.1422119140625,143709,-24.48603057861328,-25.42618887863426
21,0.02448461763560772,174155931301.43445,5001,0.0,-25.80308873921829,476.1899108886719,159675,-24.484617233276367,-25.827573356853897
23,0.02449263073503971,199170943306.82672,5501,0.0,-25.96025833240999,476.3016357421875,175641,-24.492630004882812,-25.98475096314503
25,0.02449382096529007,209121689295.61237,6001,0.0,-25.987319101383186,476.43646240234375,191607,-24.493820190429688,-26.011812922348476
27,0.024501923471689224,178028944993.60776,6501,0.0,-25.845454293810732,476.51318359375,207573,-24.501922607421875,-25.86995621728242
29,0.0244811549782753,191539815316.56207,7001,0.0,-25.862753004070093,476.65118408203125,223539,-24.48115348815918,-25.88723415904837
31,0.0244921687990427,214365228785.15405,7501,0.0,-26.043722498529313,476.9874267578125,239505,-24.492168426513672,-26.068214667328355
34,0.024497412145137787,12066666132.59024,8001,0.0,-20.099527453651884,477.3777160644531,255454,-24.497411727905273,-20.124024865797022
36,0.02450902760028839,180321293911.48715,8501,0.0,-25.823431963638726,477.9259948730469,271420,-24.50902557373047,-25.847940991239014
38,0.024502374231815338,118692908962.2279,9001,0.0,-24.032102349382257,478.09661865234375,287386,-24.50237274169922,-24.056604723614072
40,0.024526478722691536,12685450145.111229,9501,0.0,-23.174615631280748,478.7939453125,303352,-24.526477813720703,-23.19914211000344
42,0.024512164294719696,187828981870.71802,10001,0.0,-25.87546518438492,478.35662841796875,319318,-24.512163162231445,-25.89997734867964
44,0.02455553598701954,113000560737.37912,10501,0.0,-25.356691335237453,478.9471740722656,335284,-24.55553436279297,-25.381246871224473
46,0.02460809051990509,231101256511.2055,11001,0.0,-26.106327689560604,479.4556579589844,351250,-24.608089447021484,-26.13093578008051
48,0.024661237373948097,207473111168.66318,11501,0.0,-25.89818535425274,480.02911376953125,367216,-24.661235809326172,-25.922846591626687
51,0.024711934849619865,226770958853.79922,12001,0.0,-26.07990885957347,480.1761474609375,383165,-24.711933135986328,-26.10462079442309
53,0.02478213608264923,134949343305.89499,12501,0.0,-25.5363592529347,480.5389404296875,399131,-24.782135009765625,-25.56114138901735
55,0.024870162829756737,289572850346.74805,13001,0.0,-26.33318874044256,481.32086181640625,415097,-24.870161056518555,-26.358058903272315
57,0.024481529369950294,196558587692.44507,13501,0.0,-25.942335832390782,476.6493835449219,431063,-24.48152732849121,-25.966817361760732
59,0.024529604241251945,215269779280.61624,14001,0.0,-26.029603358010153,476.84771728515625,447029,-24.529603958129883,-26.054132962251405
61,0.024555737152695656,204885926730.11212,14501,0.0,-25.952346517396716,477.2413635253906,462995,-24.555736541748047,-25.97690225454941
63,0.024567821994423866,173009127705.56854,15001,0.0,-25.76767742308614,477.9472351074219,478961,-24.567821502685547,-25.792245245080565
65,0.02457151748239994,215304375930.9414,15501,0.0,-26.006905705519763,478.94464111328125,494927,-24.571516036987305,-26.031477223002163
68,0.024575799703598022,144137847754.3822,16001,0.0,-25.618295587705504,480.17034912109375,510876,-24.57579803466797,-25.6428713874091
70,0.02458030730485916,161970410399.70694,16501,0.0,-25.672394125816695,480.994384765625,526842,-24.580307006835938,-25.696974433121554
72,0.024584345519542694,230407442894.92545,17001,0.0,-26.110906511137795,481.35614013671875,542808,-24.5843448638916,-26.135490856657338
74,0.02458682283759117,193686607548.6464,17501,0.0,-12.735676498412271,481.42535400390625,558774,-24.586822509765625,-12.760263321249862
76,0.024587159976363182,199110942754.6154,18001,0.0,-25.956421980127143,481.9275817871094,574740,-24.587158203125,-25.981009140103506
78,0.024591321125626564,102014995459.349,18501,0.0,-25.300254917769767,481.78411865234375,590706,-24.591320037841797,-25.324846238895393
80,0.024595269933342934,185105934013.18384,19001,0.0,-25.75333782738923,481.6224670410156,606672,-24.59526824951172,-25.777933097322574
82,0.024591222405433655,211160346819.4363,19501,0.0,-26.00830633287078,482.1385192871094,622638,-24.59122085571289,-26.032897555276215
85,0.024604028090834618,147049797491.39087,20001,0.0,-25.634702668026485,482.2855224609375,638587,-24.604026794433594,-25.65930669611732
87,0.024600543081760406,187566448024.4341,20501,0.0,-25.847996980606887,483.0832214355469,654553,-24.600542068481445,-25.872597523688647
89,0.024619488045573235,241736978830.37378,21001,0.0,-26.13832599137297,483.7768859863281,670519,-24.619487762451172,-26.162945479418543
91,0.024634839966893196,146276584527.96198,21501,0.0,-25.60018176508197,484.3116149902344,686485,-24.634838104248047,-25.624816605048863
93,0.02466372214257717,249728747327.8789,22001,0.0,-26.153082298532045,484.7961730957031,702451,-24.663721084594727,-26.177746020674622
95,0.024679822847247124,250849974967.74704,22501,0.0,-26.11748683924488,485.3281555175781,718417,-24.679821014404297,-26.142166662092126
97,0.024729076772928238,165502745478.40344,23001,0.0,-25.76243571518029,485.4052429199219,734383,-24.729076385498047,-25.787164791953217
