rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,rollout/ep_rew_wrapped_mean,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/approx_kl
21.57,-21.57,24576,57,426,1,,,,,,,,,,,,
22.08,-22.08,49152,57,856,1,0.14593257009983063,-0.007854585366658284,-0.2896425724029541,0.2,-5.665933433175087,-1.248090558424592,0.0003,0.34549552808748557,0.9957439303398132,0.09830322265625,10,0.007976674
21.59,-21.59,73728,57,1283,1,0.2320549190044403,-0.014003142448503543,0.5970690250396729,0.2,-5.630974097674092,-1.7565072314068675,0.0003,0.37674531874169287,0.9866785407066345,0.13385416666666666,20,0.010139731
22.15,-22.15,98304,58,1684,1,0.21533630788326263,-0.016467153198027516,0.6838376820087433,0.2,-5.613051335141063,-2.1970068245008587,0.0003,0.3854371609787146,0.9842754602432251,0.15365397135416667,30,0.011323754
21.57,-21.57,122880,59,2078,1,0.13666611909866333,-0.017741718328276573,0.7246691286563873,0.2,-5.578951394061248,-2.571758000794798,0.0003,0.35948311515773335,0.9749158620834351,0.16361490885416666,40,0.012351307
20.9,-20.9,147456,55,2670,1,0.14769670367240906,-0.017990442043810617,0.7424563765525818,0.2,-5.530840001131097,-2.819681164212525,0.0003,0.29943151502132725,0.9647825360298157,0.17560628255208333,50,0.013485949
21.03,-21.03,172032,62,2752,1,0.055056922137737274,-0.019849186403492543,0.7789176255464554,0.2,-5.477149252717694,-3.1400745801255106,0.0003,0.25194999964830156,0.9498511552810669,0.18678385416666668,60,0.014360814
20.88,-20.88,196608,61,3206,1,0.029681790620088577,-0.02082643257235759,0.816775843501091,0.2,-5.397461897383134,-3.654796491712332,0.0003,0.2106074709969107,0.9323427081108093,0.19580485026041666,70,0.015391581
20.65,-20.65,221184,62,3555,1,0.03184540569782257,-0.022576068624888042,0.8548716157674789,0.2,-5.310027639816204,-4.04492891959846,0.0003,0.16227266864249637,0.9116458892822266,0.22320149739583334,80,0.017766126
20.11,-20.11,245760,62,3928,1,0.001090334728360176,-0.02145158732200798,0.8815588280558586,0.2,-5.212401387219628,-4.354682251214981,0.0003,0.12459916964095706,0.890029788017273,0.22227783203125,90,0.018068982
19.83,-19.83,270336,63,4239,1,0.023019369691610336,-0.020177213544108476,0.9097265303134918,0.2,-5.129369335373243,-4.629821152091027,0.0003,0.08420670764074506,0.8705382943153381,0.21389973958333333,100,0.017162161
19.68,-19.68,294912,63,4634,1,0.023168198764324188,-0.02098123115404936,0.9305694624781609,0.2,-5.031039897973339,-5.107040490582586,0.0003,0.060526050491898784,0.8502200841903687,0.22718505859375,110,0.017631317
19.44,-19.44,319488,63,5009,1,0.002371611073613167,-0.022876398181930806,0.9512018673121929,0.2,-4.919737534224987,-5.374492887929082,0.0003,0.044330482833902354,0.8272597789764404,0.2451171875,120,0.01888392
19.11,-19.11,344064,65,5244,1,0.007597167044878006,-0.021984833671861756,0.9483328126370907,0.2,-4.809540122623245,-5.803448433876038,0.0003,0.04529280090452327,0.8033003807067871,0.24608968098958334,130,0.020346634
18.8,-18.8,368640,65,5600,1,0.016400691121816635,-0.022807944478821205,0.9591141566634178,0.2,-4.696669484923283,-6.143191115558148,0.0003,0.04190195110325779,0.7800449132919312,0.25475667317708334,140,0.020693908
18.56,-18.56,393216,66,5953,1,-0.004660520702600479,-0.02492065243908049,0.962948601692915,0.2,-4.560062049453458,-6.385796336978674,0.0003,0.04050561756909398,0.7551509141921997,0.26626790364583336,150,0.02260303
18.33,-18.33,417792,65,6419,1,-0.03685382381081581,-0.02287497522435539,0.9675831086933613,0.2,-4.4278590232133865,-6.642620434686542,0.0003,0.03631492203930975,0.7313355207443237,0.2641805013020833,160,0.021213805
18.32,-18.32,442368,66,6655,1,-0.020584389567375183,-0.02334646114310696,0.9713379796594381,0.2,-4.313547013824185,-6.887571639940143,0.0003,0.03473994029360862,0.7093269228935242,0.26620279947916664,170,0.021960303
18.17,-18.17,466944,65,7142,1,-0.02392922155559063,-0.025085211820866486,0.9761907905340195,0.2,-4.174885676677028,-7.266897000819444,0.0003,0.030414774134987964,0.6852582097053528,0.28094889322916666,180,0.022625761
18.03,-18.03,491520,65,7476,1,-0.031036801636219025,-0.022137975521278955,0.978846026584506,0.2,-4.0496425998707615,-7.584178754240274,0.0003,0.027014245597335198,0.6642714738845825,0.275048828125,190,0.023477875
17.86,-17.86,516096,65,7928,1,0.003491485957056284,-0.020094994861877543,0.9807083569467068,0.2,-3.9244575814033547,-7.90374829441309,0.0003,0.02442446231992411,0.6445072889328003,0.27656656901041665,200,0.02370094
17.78,-17.78,540672,64,8362,1,-0.027804676443338394,-0.02070241992114461,0.9820982664823532,0.2,-3.7985225794215998,-8.038972830474377,0.0003,0.0224491804020848,0.6250240206718445,0.2755208333333333,210,0.0231914
17.85,-17.85,565248,64,8768,1,0.006333315744996071,-0.01944191181040272,0.9830079730600119,0.2,-3.6774120022232335,-8.392389352470637,0.0003,0.022852602062145403,0.6073968410491943,0.2793375651041667,220,0.023529166
17.68,-17.68,589824,65,9043,1,-0.018574295565485954,-0.020487127585632457,0.9849860416725278,0.2,-3.5510595748201013,-8.802896039187909,0.0003,0.020302162243145478,0.5883808135986328,0.2967325846354167,230,0.02442593
17.59,-17.59,614400,64,9518,1,-0.03371357172727585,-0.020221498604344863,0.9860367402434349,0.2,-3.4365005788703757,-9.087278220653534,0.0003,0.019025803519252805,0.5713315606117249,0.2826456705729167,240,0.024103383
