raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,-0.00020857439085375518,346833,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.060554293682799e-05,346833,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.7063664674642496e-05,346834,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00013902882346883416,346834,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00017922863480634987,346835,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001179480750579387,346835,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00024222760112024844,346836,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.3183431039797142e-05,346836,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00013918904005549848,346837,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.614967034896836e-05,346837,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.2798429755494e-06,346838,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.829472451703623e-06,346838,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.236835568211973e-05,346839,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.15216267760843e-05,346839,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00028735504020005465,346840,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00015104634803719819,346840,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.8800950025906786e-05,346841,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.792020136956125e-05,346841,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014715001452714205,346842,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00015178696776274592,346842,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00011547206668183208,346843,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00011067961168009788,346843,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.943515184801072e-05,346844,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.930942279519513e-05,346844,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00012029329809593037,346845,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.7940022088587284e-05,346845,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.6044545191107318e-05,346846,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.055375706637278e-06,346846,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001960202498594299,346847,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00016994118050206453,346847,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011301918129902333,346848,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001994614431168884,346848,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.7530513004167005e-05,346849,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.2915162339340895e-06,346849,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00017639106954447925,346850,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00011928255116799846,346850,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.6059914893703535e-05,346851,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.271418093703687e-05,346851,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.0417552150320262e-05,346852,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014795058814343065,346852,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00034385279286652803,346853,32.0,0.5,1.0,1.0,0.0,32.0,0.5
