mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193458.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193459.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193460.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193461.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193462.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193463.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193464.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193465.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193466.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193467.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193468.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193469.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193470.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193471.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193472.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193473.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193474.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193475.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193476.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193477.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193478.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193479.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193480.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193481.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193482.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193483.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193484.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193485.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193486.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193487.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193488.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193489.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193490.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193491.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193492.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193493.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193494.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193495.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193496.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193497.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193498.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193499.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193500.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193501.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193502.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193503.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193504.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193505.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193506.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193507.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193508.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193509.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193510.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193511.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193512.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193513.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193514.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193515.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193516.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,193517.0
