bc/epoch_num,bc/ent_loss,bc/prob_true_act,bc/batch_num,bc/l2_loss,bc/loss,bc/l2_norm,bc/samples_so_far,bc/entropy,bc/neglogp
0,0.02458716370165348,140626626851.27002,1,0.0,-24.96102224121389,2958.728759765625,32,-24.587162017822266,-24.985609404915543
2,0.024617750197649002,242169828878.23618,501,0.0,-25.91559401397292,2959.411376953125,15998,-24.617748260498047,-25.94021176417057
4,0.024653557687997818,229729924621.33832,1001,0.0,-26.068632510045234,2960.573974609375,31964,-24.65355682373047,-26.09328606773323
6,0.02468419447541237,5714697597.298935,1501,0.0,-22.40435350186437,2961.15966796875,47930,-24.684192657470703,-22.429037696339783
8,0.024699704721570015,223536064528.31458,2001,0.0,-26.063223044383577,2961.653076171875,63896,-24.699703216552734,-26.087922749105147
10,0.024693531915545464,130536890328.91083,2501,0.0,-25.4846859185423,2963.447265625,79862,-24.693531036376953,-25.509379450457846
12,0.024712705984711647,27670042585.84252,3001,0.0,-23.723249594761903,2964.944580078125,95828,-24.712705612182617,-23.747962300746615
14,0.024699442088603973,93701745030.90887,3501,0.0,-25.171701879251586,2966.66162109375,111794,-24.699440002441406,-25.19640132134019
17,0.02468469925224781,3729658409.767952,4001,0.0,-21.96365097387892,2969.28271484375,127743,-24.6846981048584,-21.988335673131168
19,0.024651596322655678,73765623458.31984,4501,0.0,-24.94133451404138,2970.67138671875,143709,-24.651596069335938,-24.965986110364035
21,0.024617409333586693,474894.84020004596,5001,0.0,-10.716785550983639,2972.07470703125,159675,-24.617408752441406,-10.741402960317226
23,0.024608975276350975,11967178813.08718,5501,0.0,-22.31781695049859,2973.083984375,175641,-24.60897445678711,-22.34242592577494
25,0.024571839720010757,25655884.995386653,6001,0.0,-16.995106328950307,2973.87353515625,191607,-24.57183837890625,-17.019678168670318
27,0.024517439305782318,180381459731.3284,6501,0.0,-25.835001667682512,2976.94775390625,207573,-24.517438888549805,-25.859519106988294
29,0.02445244789123535,17065143642.247355,7001,0.0,-7.656115103807307,2978.228759765625,223539,-24.45244598388672,-7.680567551698543
31,0.024424923583865166,168547107550.28934,7501,0.0,-25.80244294424009,2975.21337890625,239505,-24.424922943115234,-25.826867867823957
34,0.024398289620876312,675981557.4105734,8001,0.0,-20.198786044057893,2976.27197265625,255454,-24.39828872680664,-20.22318433367877
36,0.024323904886841774,74867614948.37909,8501,0.0,-24.974529653508768,2975.022216796875,271420,-24.323904037475586,-24.99885355839561
38,0.024293996393680573,138306710319.2908,9001,0.0,-25.500449175076092,2974.39501953125,287386,-24.293994903564453,-25.524743171469773
40,0.024295557290315628,151623242566.89044,9501,0.0,-25.591192014113545,2974.37548828125,303352,-24.295557022094727,-25.61548757140386
42,0.023791776970028877,89655209776.48688,10001,0.0,-25.09552584305088,2974.2109375,319318,-23.791776657104492,-25.119317620020908
44,0.023860519751906395,99152486833.23941,10501,0.0,-25.250705813995403,2975.34765625,335284,-23.860519409179688,-25.27456633374731
46,0.023929929360747337,113633318304.74881,11001,0.0,-25.312916217378994,2976.570068359375,351250,-23.929927825927734,-25.33684614673974
48,0.02401041053235531,122337107690.4805,11501,0.0,-25.373853228839607,2977.578369140625,367216,-24.01041030883789,-25.397863639371963
51,0.02408519946038723,74746430119.57751,12001,0.0,-24.93828281244,2979.87158203125,383165,-24.08519744873047,-24.962368011900388
53,0.024143388494849205,24100890722.780487,12501,0.0,-23.776072661540823,2980.724609375,399131,-24.143386840820312,-23.800216050035672
55,0.024152420461177826,131209472344.20567,13001,0.0,-25.543894211988913,2979.965576171875,415097,-24.152420043945312,-25.56804663245009
57,0.02417605370283127,109055615176.10866,13501,0.0,-25.336318059519076,2979.85546875,431063,-24.17605209350586,-25.360494113221907
59,0.0242884773761034,122694055046.8811,14001,0.0,-25.055889357628587,2979.168212890625,447029,-24.288476943969727,-25.08017783500469
61,0.024381233379244804,164212807555.13898,14501,0.0,-25.77725836339986,2979.650390625,462995,-24.3812313079834,-25.801639596779104
63,0.024024544283747673,122100808756.80746,15001,0.0,-25.44085652146459,2969.779052734375,478961,-24.02454376220703,-25.464881065748337
65,0.02405462972819805,87407455951.07178,15501,0.0,-25.120969998648214,2968.8828125,494927,-24.054628372192383,-25.14502462837641
68,0.024065755307674408,104551276520.21771,16001,0.0,-25.30476813354451,2969.892822265625,510876,-24.065753936767578,-25.328833888852184
70,0.024062380194664,105327002429.04103,16501,0.0,-25.26426846824385,2970.970947265625,526842,-24.062379837036133,-25.288330848438513
72,0.024059941992163658,129798217671.30232,17001,0.0,-25.53087636549028,2972.447509765625,542808,-24.059940338134766,-25.554936307482443
74,0.024072688072919846,132733777147.76276,17501,0.0,-25.486153665192212,2972.421875,558774,-24.07268714904785,-25.510226353265132
