mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,5.583257006946951e-05,0.0,1.0,0.5,202047.0,32.0
1.0,32.0,0.5,1.0,-6.861574001959525e-05,0.0,1.0,0.5,202048.0,32.0
1.0,32.0,0.5,1.0,0.00017312597992713563,0.0,1.0,0.5,202049.0,32.0
1.0,32.0,0.5,1.0,-1.4317911336547695e-05,0.0,1.0,0.5,202050.0,32.0
1.0,32.0,0.5,1.0,0.00015013992378953844,0.0,1.0,0.5,202051.0,32.0
1.0,32.0,0.5,1.0,-0.0001487817098677624,0.0,1.0,0.5,202052.0,32.0
1.0,32.0,0.5,1.0,-2.496795787010342e-06,0.0,1.0,0.5,202053.0,32.0
1.0,32.0,0.5,1.0,3.19393802783452e-05,0.0,1.0,0.5,202054.0,32.0
1.0,32.0,0.5,1.0,6.202639451657888e-05,0.0,1.0,0.5,202055.0,32.0
1.0,32.0,0.5,1.0,-2.822443093464244e-05,0.0,1.0,0.5,202056.0,32.0
1.0,32.0,0.5,1.0,2.0976851374143735e-05,0.0,1.0,0.5,202057.0,32.0
1.0,32.0,0.5,1.0,5.2718127335538156e-05,0.0,1.0,0.5,202058.0,32.0
1.0,32.0,0.5,1.0,5.023349694965873e-05,0.0,1.0,0.5,202059.0,32.0
1.0,32.0,0.5,1.0,-0.00010276066313963383,0.0,1.0,0.5,202060.0,32.0
1.0,32.0,0.5,1.0,3.142629429930821e-05,0.0,1.0,0.5,202061.0,32.0
1.0,32.0,0.5,1.0,-8.066683949436992e-05,0.0,1.0,0.5,202062.0,32.0
1.0,32.0,0.5,1.0,-2.942579703812953e-05,0.0,1.0,0.5,202063.0,32.0
1.0,32.0,0.5,1.0,-2.1821069822181016e-06,0.0,1.0,0.5,202064.0,32.0
1.0,32.0,0.5,1.0,-3.521987673593685e-05,0.0,1.0,0.5,202065.0,32.0
1.0,32.0,0.5,1.0,3.92753472624463e-05,0.0,1.0,0.5,202066.0,32.0
