raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,-6.000591383781284e-05,287937,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.9833670345833525e-05,287937,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.133016722742468e-05,287938,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001945625408552587,287938,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.474863089853898e-05,287939,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0003582758945412934,287939,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.296585292555392e-05,287940,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.485376798082143e-05,287940,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0003340873518027365,287941,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00010354246478527784,287941,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00013656148803420365,287942,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.988039578776807e-05,287942,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.1656680221203715e-05,287943,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.690475078765303e-05,287943,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.6361875168513507e-05,287944,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00029891892336308956,287944,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00011596591502893716,287945,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.7158363081980497e-05,287945,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00013269676128402352,287946,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00016127472918014973,287946,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.922941924538463e-05,287947,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.572702063247561e-05,287947,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001394340506521985,287948,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001868041726993397,287948,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.736951425205916e-05,287949,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.122135477606207e-05,287949,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001722445886116475,287950,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.110221147537231e-05,287950,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.8044487407896668e-06,287951,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.057734521571547e-05,287951,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00020771408162545413,287952,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00016787074855528772,287952,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00018652845756150782,287953,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.67208080610726e-05,287953,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.28770168684423e-05,287954,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.796016244450584e-06,287954,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.640848732786253e-05,287955,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00021497429406736046,287955,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001019208284560591,287956,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00024074118118733168,287956,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.4086846931604668e-05,287957,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00020504652638919652,287957,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00023372608120553195,287958,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0002983120211865753,287958,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.34122474770993e-05,287959,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.5887954911449924e-05,287959,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00013355963164940476,287960,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.137358569598291e-05,287960,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.626717706443742e-05,287961,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.249146827030927e-05,287961,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.921304985648021e-05,287962,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.883124974090606e-05,287962,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0003790967748500407,287963,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.515550633892417e-05,287963,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.173890895093791e-05,287964,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014316683518700302,287964,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001266850740648806,287965,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.000255215767538175,287965,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.074927609413862e-05,287966,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00013176017091609538,287966,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010336795821785927,287967,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00020955356012564152,287967,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.8545924578793347e-05,287968,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.000132287634187378,287968,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00016040366608649492,287969,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.775639197556302e-05,287969,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.112359212944284e-05,287970,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.889714419841766e-05,287970,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.521792526356876e-05,287971,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014166711480356753,287971,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.8814942450262606e-05,287972,32.0,0.5,1.0,1.0,0.0,32.0,0.5
