raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,106341,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106341,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106342,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106342,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106343,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106343,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106344,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106344,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106345,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106345,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106346,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106346,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106347,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106347,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106348,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106348,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106349,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106349,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106350,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106350,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106351,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106351,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106352,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106352,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106353,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106353,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106354,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106354,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,106355,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
