bc/epoch_num,bc/ent_loss,bc/prob_true_act,bc/batch_num,bc/l2_loss,bc/loss,bc/l2_norm,bc/samples_so_far,bc/entropy,bc/neglogp
0,0.02469269372522831,199618380295.12387,1,0.0,-25.932330551746865,852.4756469726562,32,-24.692691802978516,-25.957023245472094
2,0.02475537173449993,131581476594.45067,501,0.0,-25.5295210680857,853.1178588867188,15998,-24.75537109375,-25.5542764398202
4,0.02429075725376606,84964470457.81665,1001,0.0,-24.51874277417791,848.7694091796875,31964,-24.290756225585938,-24.543033531431675
6,0.024347824975848198,203158042223.4895,1501,0.0,-25.98781783935207,848.2603759765625,47930,-24.347824096679688,-26.012165664327917
8,0.024409521371126175,194780447419.76852,2001,0.0,-25.92259390409948,848.3261108398438,63896,-24.409521102905273,-25.947003425470605
10,0.024453260004520416,190519732494.03177,2501,0.0,-25.88097897814738,848.4819946289062,79862,-24.453258514404297,-25.9054322381519
12,0.02447638101875782,201824073432.05713,3001,0.0,-25.951595164074693,848.5386352539062,95828,-24.47637939453125,-25.97607154509345
14,0.02448424883186817,217227782857.5523,3501,0.0,-26.045534278674694,848.5787353515625,111794,-24.4842472076416,-26.070018527506562
17,0.024490751326084137,203937717570.89264,4001,0.0,-25.979795483265345,848.6346435546875,127743,-24.49074935913086,-26.00428623459143
19,0.024495281279087067,205616383097.96313,4501,0.0,-25.97397433593234,848.7130737304688,143709,-24.49527931213379,-25.998469617211427
21,0.024500912055373192,165168881636.35583,5001,0.0,-25.703962531369303,848.7935180664062,159675,-24.500911712646484,-25.728463443424676
23,0.024505363777279854,164441234348.3717,5501,0.0,-25.760658335290138,848.9420166015625,175641,-24.50536346435547,-25.785163699067418
25,0.02448999136686325,6466554822.708559,6001,0.0,-19.950411755215352,848.985595703125,191607,-24.489990234375,-19.974901746582216
27,0.02450128272175789,192562630686.47406,6501,0.0,-25.927667442383765,849.3819580078125,207573,-24.50128173828125,-25.952168725105523
29,0.024514218792319298,64296069910.893684,7001,0.0,-24.789905150987565,849.6113891601562,223539,-24.514217376708984,-24.814419369779884
31,0.024523580446839333,203519406946.841,7501,0.0,-25.954685068137344,849.8695068359375,239505,-24.523578643798828,-25.979208648584184
34,0.024547765031456947,119712084012.80084,8001,0.0,-25.434792732599604,850.2542114257812,255454,-24.54776382446289,-25.45934049763106
36,0.024565888568758965,201390003073.2056,8501,0.0,-25.96318287667099,850.71435546875,271420,-24.565887451171875,-25.98774876523975
38,0.024601254612207413,225923043782.67914,9001,0.0,-25.731274367792874,851.219970703125,287386,-24.601253509521484,-25.75587562240508
40,0.02463109791278839,184845652263.6198,9501,0.0,-25.84209457907516,851.6751708984375,303352,-24.63109588623047,-25.866725676987947
42,0.024673087522387505,232259117207.74384,10001,0.0,-26.105924756391516,852.1652221679688,319318,-24.673086166381836,-26.130597843913904
44,0.02471366710960865,215545991696.8479,10501,0.0,-26.03597934971394,852.4827270507812,335284,-24.713665008544922,-26.06069301682355
46,0.02478344552218914,81611497987.90524,11001,0.0,-24.889209069376825,852.9295043945312,351250,-24.783443450927734,-24.913992514899014
48,0.02485310472548008,276963191107.8817,11501,0.0,-26.28496267612134,853.1619873046875,367216,-24.853103637695312,-26.30981578084682
51,0.02458178997039795,0.009873155647236363,12001,0.0,4.659337177553543,851.0463256835938,383165,-24.581789016723633,4.634755387583145
53,0.024607816711068153,233594207901.72217,12501,0.0,-26.100790881017097,854.4775390625,399131,-24.60781478881836,-26.125398697728166
55,0.024605242535471916,238093212117.57028,13001,0.0,-26.10755994882493,854.0594482421875,415097,-24.605241775512695,-26.132165191360404
57,0.024606425315141678,237052040279.38565,13501,0.0,-26.121106122360352,853.859130859375,431063,-24.60642433166504,-26.145712547675494
59,0.024613142013549805,217562008982.34573,14001,0.0,-26.021057818368494,853.7658081054688,447029,-24.613140106201172,-26.045670960382044
61,0.02461129240691662,225445723486.33826,14501,0.0,-26.07027655686815,853.745849609375,462995,-24.611291885375977,-26.094887849275068
63,0.024619683623313904,208857726603.80585,15001,0.0,-25.974384728676483,853.7318115234375,478961,-24.61968231201172,-25.999004412299797
65,0.024620255455374718,232699404374.8456,15501,0.0,-26.12426826007708,853.7118530273438,494927,-24.620254516601562,-26.148888515532455
68,0.024623548611998558,213367186071.73718,16001,0.0,-25.983636886727616,853.6940307617188,510876,-24.623546600341797,-26.008260435339615
70,0.02463112398982048,249237249521.33798,16501,0.0,-26.169401349128446,853.8610229492188,526842,-24.631122589111328,-26.194032473118266
72,0.024640584364533424,228098779496.69012,17001,0.0,-26.05944008084319,853.9365234375,542808,-24.640583038330078,-26.084080665207722
74,0.024641675874590874,216841913678.69666,17501,0.0,-24.621242710240246,854.0390625,558774,-24.641674041748047,-24.645884386114837
76,0.02464132010936737,233557433133.28256,18001,0.0,-26.08809075092566,854.1958618164062,574740,-24.641319274902344,-26.112732071035026
78,0.024658123031258583,175962684227.52756,18501,0.0,-25.83559459722837,854.0809326171875,590706,-24.65812110900879,-25.860252720259627
80,0.024665573611855507,258151434055.03052,19001,0.0,-26.2200773659805,854.2662353515625,606672,-24.665573120117188,-26.244742939592356
82,0.024695398285984993,88888084337.25931,19501,0.0,-25.127148438958873,854.624755859375,622638,-24.695396423339844,-25.151843837244858
85,0.024721143767237663,210062331917.3246,20001,0.0,-25.951903254663677,854.7297973632812,638587,-24.721141815185547,-25.976624398430914
87,0.024737460538744926,272038462300.32327,20501,0.0,-26.254582921542095,854.96240234375,654553,-24.737459182739258,-26.27932038208084
89,0.024768861010670662,125177878646.3374,21001,0.0,-25.469539347613413,854.8815307617188,670519,-24.76885986328125,-25.494308208624084
91,0.024806611239910126,128155506952.3804,21501,0.0,-25.444881072306075,854.8001098632812,686485,-24.806610107421875,-25.469687683545985
93,0.02484549954533577,277896950974.9275,22001,0.0,-26.25424576607103,855.2974243164062,702451,-24.84549903869629,-26.279091265616366
95,0.02490101382136345,289032581144.8888,22501,0.0,-26.236669164650717,855.4918823242188,718417,-24.901012420654297,-26.26157017847208
97,0.024963388219475746,216231312632.74738,23001,0.0,-26.025926682597884,855.7291870117188,734383,-24.96338653564453,-26.05089007081736
