bc/epoch_num,bc/l2_loss,bc/loss,bc/batch_num,bc/prob_true_act,bc/entropy,bc/samples_so_far,bc/neglogp,bc/l2_norm,bc/ent_loss
533,0.0,-6.262466694430966,24001,843.3635004767419,-5.612878799438477,767499,-6.268079573491175,78.60745239257812,0.0056128790602087975
544,0.0,-5.356200392102767,24501,688.7572916113752,-5.719412803649902,783488,-5.3619198051522865,79.16283416748047,0.005719413049519062
555,0.0,-5.953386710645904,25001,864.7528676372792,-5.772285461425781,799477,-5.959158996274968,79.38670349121094,0.005772285629063845
566,0.0,-6.249697102131026,25501,1149.349704129569,-5.776754379272461,815466,-6.255473856711464,79.48100280761719,0.005776754580438137
577,0.0,-5.8307520397185115,26001,915.0435153879463,-5.787170886993408,831455,-5.8365392106762854,79.63689422607422,0.005787170957773924
588,0.0,-6.604034643226859,26501,1266.906354907051,-5.7813215255737305,847444,-6.609815965013203,79.65767669677734,0.005781321786344051
600,0.0,-6.410302693188163,27001,1008.410435142177,-5.786870956420898,863432,-6.4160895642600675,79.77253723144531,0.005786871071904898
611,0.0,-6.062152023641677,27501,856.2863078041886,-5.7870965003967285,879421,-6.0679391205593065,79.8918685913086,0.005787096917629242
622,0.0,-5.283882920474925,28001,742.5070703265534,-5.795109748840332,895410,-5.289678030491986,79.95458221435547,0.0057951100170612335
633,0.0,-6.375030408882634,28501,1045.259932718141,-5.782100677490234,911399,-6.380812509720312,79.98780822753906,0.005782100837677717
644,0.0,-5.448457119547218,29001,534.5104850558316,-5.790964603424072,927388,-5.454248084247499,80.1056900024414,0.00579096470028162
655,0.0,-6.554425796429436,29501,1091.2215984911468,-5.781258583068848,943377,-6.560207055351507,80.20137023925781,0.005781258922070265
666,0.0,-5.175421326888241,30001,686.2574330054724,-5.801822185516357,959366,-5.181223149412759,80.35425567626953,0.005801822524517775
677,0.0,-5.124431397052936,30501,478.34918159790215,-5.784978866577148,975355,-5.13021637614303,80.38131713867188,0.005784979090094566
688,0.0,-5.732228894695272,31001,1013.4082260917648,-5.797820091247559,991344,-5.738026714861025,80.4161605834961,0.0057978201657533646
700,0.0,-6.0791350370534865,31501,1193.3335385741168,-5.790842056274414,1007332,-6.0849258792848495,80.49008178710938,0.005790842231363058
711,0.0,-6.424794205062949,32001,1021.2268565347433,-5.793647766113281,1023321,-6.430587852903568,80.51290893554688,0.005793647840619087
722,0.0,-5.374575335424441,32501,791.1484938375529,-5.792369842529297,1039310,-5.380367705490488,80.65890502929688,0.005792370066046715
733,0.0,-6.011806256730984,33001,855.1061916589929,-5.799612045288086,1055299,-6.017605869227032,80.84497833251953,0.005799612496048212
744,0.0,-5.66697752652302,33501,823.8253171402642,-5.7931294441223145,1071288,-5.672770656082626,80.92044830322266,0.005793129559606314
755,0.0,-5.97528086118569,34001,859.9390367642624,-5.799152374267578,1087277,-5.981080013608386,81.00031280517578,0.005799152422696352
766,0.0,-6.0767102533881205,34501,853.3742065440922,-5.793343544006348,1103266,-6.082503597151919,81.08179473876953,0.005793343763798475
777,0.0,-5.902599163698748,35001,945.1853156435316,-5.795480728149414,1119255,-5.9083946448478555,81.07913208007812,0.005795481149107218
788,0.0,-5.587140529856421,35501,886.0369364158671,-5.793360710144043,1135244,-5.592933890849687,81.19522094726562,0.005793360993266106
800,0.0,-6.03361911781116,36001,988.3255850663749,-5.779820919036865,1151232,-6.039398939236836,81.25885009765625,0.005779821425676346
811,0.0,-5.3998194633300445,36501,807.0383735263198,-5.7887115478515625,1167221,-5.405608175161018,81.36198425292969,0.005788711830973625
822,0.0,-5.618571821396679,37001,573.9605944235486,-5.791505813598633,1183210,-5.624363327661038,81.38577270507812,0.005791506264358759
833,0.0,-5.470238993080572,37501,658.3773770235427,-5.792121887207031,1199199,-5.476031115414814,81.48841857910156,0.005792122334241867
844,0.0,-6.191655089394272,38001,947.6544330773983,-5.789065837860107,1215188,-6.197444155593486,81.60002136230469,0.005789066199213266
855,0.0,-5.982102191183179,38501,863.0203654688439,-5.786428451538086,1231177,-5.987888619876861,81.65963745117188,0.005786428693681955
866,0.0,-5.66763425265399,39001,729.8516843210969,-5.783702373504639,1247166,-5.673417955366496,81.69681549072266,0.005783702712506056
877,0.0,-6.126468589535541,39501,1041.4842151649702,-5.791231155395508,1263155,-6.1322598210597405,81.83230590820312,0.005791231524199247
888,0.0,-5.450436076337301,40001,905.0933256064117,-5.790774345397949,1279144,-5.456226851047777,81.89746856689453,0.0057907747104763985
900,0.0,-6.063984963410272,40501,974.2047834415266,-5.7967681884765625,1295132,-6.069781731647177,82.01325988769531,0.005796768236905336
911,0.0,-5.792856525424398,41001,669.3311314803284,-5.794201850891113,1311121,-5.798650727401949,82.06568145751953,0.005794201977550983
922,0.0,-5.185855309116147,41501,798.0439544654894,-5.783641815185547,1327110,-5.191638951292686,82.08460235595703,0.005783642176538706
933,0.0,-5.270654599538798,42001,638.0555538967221,-5.778912544250488,1343099,-5.2764335124593025,82.06400299072266,0.005778912920504808
944,0.0,-5.9541511213634575,42501,748.4609124168376,-5.793393135070801,1359088,-5.959944514953014,82.21309661865234,0.005793393589556217
955,0.0,-6.149379524369861,43001,1026.2320549421813,-5.782933235168457,1375077,-6.15516245780992,82.31753540039062,0.0057829334400594234
966,0.0,-6.23808699210834,43501,858.1453077745483,-5.795360088348389,1391066,-6.243882352651174,82.40266418457031,0.005795360542833805
977,0.0,-5.121290007315647,44001,765.1465283782239,-5.792741775512695,1407055,-5.127082749445062,82.41582489013672,0.005792742129415274
988,0.0,-5.997943593742169,44501,1067.721847441282,-5.796629905700684,1423044,-6.003740224143333,82.60425567626953,0.005796630401164293
