raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,146423,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146423,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146424,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146424,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146425,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146425,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146426,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146426,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146427,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146427,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146428,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146428,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146429,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146429,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146430,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146430,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146431,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146431,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146432,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146432,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146433,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146433,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146434,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146434,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146435,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146435,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146436,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146436,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146437,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146437,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146438,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146438,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146439,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146439,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146440,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146440,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146441,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146441,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146442,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146442,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146443,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146443,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146444,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146444,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146445,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146445,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146446,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146446,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146447,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146447,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146448,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146448,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146449,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146449,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146450,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146450,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146451,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146451,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146452,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146452,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146453,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146453,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146454,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146454,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146455,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146455,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146456,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146456,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146457,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146457,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146458,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146458,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146459,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146459,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146460,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146460,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146461,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146461,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146462,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146462,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146463,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146463,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146464,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146464,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146465,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146465,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146466,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146466,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146467,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146467,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146468,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146468,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146469,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146469,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146470,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146470,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146471,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146471,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146472,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146472,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146473,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,146473,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
