bc/prob_true_act,bc/neglogp,bc/epoch_num,bc/l2_loss,bc/loss,bc/batch_num,bc/l2_norm,bc/entropy,bc/samples_so_far,bc/ent_loss
0.022551820599906396,3.7919425514067395,0,0.0,3.7862667968968733,1,55.50019836425781,5.675754070281982,32,-0.005675754509866238
0.17979635048234474,1.7159718181503987,2,0.0,1.712295093064574,501,57.27946472167969,3.676724910736084,15982,-0.003676725085824728
1.2146968020041853,-0.1939413129138172,4,0.0,-0.19564624894600066,1001,59.71262741088867,1.704935908317566,31932,-0.0017049360321834683
6.815282044024826,-1.9168216149375623,6,0.0,-1.9166220827721374,1501,63.431217193603516,-0.199532151222229,47882,0.00019953216542489827
26.059027758013894,-3.2345170195777513,9,0.0,-3.2325885437759183,2001,68.90355682373047,-1.9284757375717163,63807,0.001928475801832974
68.84254413672133,-4.128716074888534,11,0.0,-4.125437684849776,2501,72.8355484008789,-3.2783899307250977,79757,0.0032783900387585163
91.85982675465611,-4.272689384906434,13,0.0,-4.268621220751546,3001,77.2841567993164,-4.068163871765137,95707,0.004068164154887199
110.7253073452195,-4.5817089670929025,15,0.0,-4.577298709529908,3501,81.24230194091797,-4.410257339477539,111657,0.004410257562994957
138.3096161668465,-4.758424089352839,18,0.0,-4.753895818318479,4001,83.70171356201172,-4.528270721435547,127582,0.004528271034359932
127.4446495736671,-4.33500980558443,20,0.0,-4.3304728495014,4501,85.19258117675781,-4.536955833435059,143532,0.004536956083029509
152.99498432308957,-4.994723899963215,22,0.0,-4.9901682098609355,5001,87.4722900390625,-4.555689811706543,159482,0.004555690102279186
137.58962349877734,-4.851340915242501,25,0.0,-4.846785305233963,5501,89.65509796142578,-4.555609703063965,175407,0.004555610008537769
131.72194062629177,-3.2490182468882307,27,0.0,-3.2444519392429396,6001,91.57939147949219,-4.566307544708252,191357,0.00456630764529109
158.67508531344694,-5.007597824304785,29,0.0,-5.003026704515751,6501,93.400390625,-4.571119785308838,207307,0.004571119789034128
152.55777607354875,-4.392022908383733,31,0.0,-4.387455734142787,7001,94.49451446533203,-4.567173957824707,223257,0.00456717424094677
126.31610307074267,-4.701553907010632,34,0.0,-4.696995350763129,7501,96.5511245727539,-4.558556079864502,239182,0.004558556247502565
145.05644239355667,-4.87891938288975,36,0.0,-4.874368066278281,8001,98.32734680175781,-4.551316261291504,255132,0.004551316611468792
142.90579176169854,-4.939281671499515,38,0.0,-4.934720187639499,8501,100.0590591430664,-4.561483860015869,271082,0.004561483860015869
140.2547785264442,-4.3761951875560685,40,0.0,-4.371626313185762,9001,101.82988739013672,-4.568874359130859,287032,0.00456887437030673
153.0133136290253,-4.459553525203095,43,0.0,-4.454989012216405,9501,103.42963409423828,-4.564512729644775,302957,0.004564512986689806
150.43521983372446,-4.865844315093514,45,0.0,-4.861280999787655,10001,105.20023345947266,-4.563314914703369,318907,0.0045633153058588505
156.64557730230007,-5.023351844113638,47,0.0,-5.018780560411831,10501,107.18640899658203,-4.571283340454102,334857,0.0045712837018072605
141.00924938839685,-4.0173968488202085,50,0.0,-4.01284753641492,11001,108.2873306274414,-4.549312114715576,350782,0.0045493124052882195
141.99274767503084,-4.033687072808302,52,0.0,-4.029128606433428,11501,110.26831817626953,-4.558465957641602,366732,0.004558466374874115
136.62294569548143,-4.883694737985479,54,0.0,-4.879139404579746,12001,111.60027313232422,-4.555333137512207,382682,0.0045553334057331085
130.62010276564232,-4.346561181412705,56,0.0,-4.34199561044357,12501,114.43353271484375,-4.565570831298828,398632,0.004565570969134569
138.1071508529581,-4.898815299767344,59,0.0,-4.894259588710307,13001,116.3433609008789,-4.555710792541504,414557,0.004555711057037115
134.94331481346381,-4.319103636865143,61,0.0,-4.31454193693829,13501,118.87026977539062,-4.561699867248535,430507,0.00456169992685318
151.3140467224864,-4.707261325663541,63,0.0,-4.7027054641979085,14001,120.4386978149414,-4.555861473083496,446457,0.0045558614656329155
134.28738846705016,-4.21776541407911,65,0.0,-4.213209749588201,14501,122.6324234008789,-4.5556640625,462407,0.004555664490908384
147.07941289941738,-4.969101727181681,68,0.0,-4.964528541719177,15001,125.0626220703125,-4.573185443878174,478332,0.004573185462504625
138.9800672408149,-4.909257941237718,70,0.0,-4.904706614381701,15501,127.42310333251953,-4.551326751708984,494282,0.004551326856017113
133.67152130074345,-3.612107271459868,72,0.0,-3.6075582179622554,16001,128.20936584472656,-4.549053192138672,510232,0.004549053497612476
155.3582283314533,-4.521679314865153,75,0.0,-4.5171171488113515,16501,131.02870178222656,-4.5621657371521,526157,0.004562166053801775
148.76704480950718,-4.468297751091759,77,0.0,-4.463724008698355,17001,133.6688995361328,-4.573742389678955,542107,0.004573742393404245
129.48315019294535,-3.741510810639661,79,0.0,-3.73693845126028,17501,135.68470764160156,-4.572359085083008,558057,0.004572359379380941
148.85890167822834,-4.9780653127341115,81,0.0,-4.973502055170252,18001,135.35440063476562,-4.563257217407227,574007,0.004563257563859224
