mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,-6.279232911765575e-05,0.0,1.0,0.5,218816.0,32.0
1.0,32.0,0.5,1.0,-7.1926206146599725e-06,0.0,1.0,0.5,218817.0,32.0
1.0,32.0,0.5,1.0,-7.551782255177386e-05,0.0,1.0,0.5,218818.0,32.0
1.0,32.0,0.5,1.0,-1.3028186003793962e-05,0.0,1.0,0.5,218819.0,32.0
1.0,32.0,0.5,1.0,1.612430060049519e-05,0.0,1.0,0.5,218820.0,32.0
1.0,32.0,0.5,1.0,-3.412858859519474e-06,0.0,1.0,0.5,218821.0,32.0
1.0,32.0,0.5,1.0,9.58215787250083e-05,0.0,1.0,0.5,218822.0,32.0
1.0,32.0,0.5,1.0,-0.00014631394151365384,0.0,1.0,0.5,218823.0,32.0
1.0,32.0,0.5,1.0,-5.7040211686398834e-05,0.0,1.0,0.5,218824.0,32.0
1.0,32.0,0.5,1.0,-0.0001522285911050858,0.0,1.0,0.5,218825.0,32.0
1.0,32.0,0.5,1.0,6.964131171116605e-05,0.0,1.0,0.5,218826.0,32.0
1.0,32.0,0.5,1.0,8.805818652035668e-06,0.0,1.0,0.5,218827.0,32.0
1.0,32.0,0.5,1.0,-0.00019678417993418407,0.0,1.0,0.5,218828.0,32.0
1.0,32.0,0.5,1.0,1.9099923520116135e-05,0.0,1.0,0.5,218829.0,32.0
1.0,32.0,0.5,1.0,0.0001311968699155841,0.0,1.0,0.5,218830.0,32.0
1.0,32.0,0.5,1.0,2.255910658277571e-06,0.0,1.0,0.5,218831.0,32.0
1.0,32.0,0.5,1.0,-4.5866850996389985e-05,0.0,1.0,0.5,218832.0,32.0
1.0,32.0,0.5,1.0,3.809265763266012e-05,0.0,1.0,0.5,218833.0,32.0
1.0,32.0,0.5,1.0,1.057207555277273e-05,0.0,1.0,0.5,218834.0,32.0
1.0,32.0,0.5,1.0,0.00010056153405457735,0.0,1.0,0.5,218835.0,32.0
1.0,32.0,0.5,1.0,-1.7085258150473237e-06,0.0,1.0,0.5,218836.0,32.0
1.0,32.0,0.5,1.0,3.272656977060251e-05,0.0,1.0,0.5,218837.0,32.0
1.0,32.0,0.5,1.0,-5.884592974325642e-05,0.0,1.0,0.5,218838.0,32.0
1.0,32.0,0.5,1.0,-3.9800281228963286e-05,0.0,1.0,0.5,218839.0,32.0
1.0,32.0,0.5,1.0,4.8101661377586424e-05,0.0,1.0,0.5,218840.0,32.0
1.0,32.0,0.5,1.0,1.1618045391514897e-05,0.0,1.0,0.5,218841.0,32.0
