mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152558.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152559.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152560.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152561.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152562.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152563.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152564.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152565.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152566.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152567.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152568.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152569.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152570.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152571.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152572.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152573.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152574.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152575.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152576.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152577.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152578.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152579.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152580.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152581.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152582.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152583.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152584.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152585.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152586.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152587.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152588.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152589.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152590.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152591.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152592.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152593.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152594.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152595.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152596.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152597.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152598.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152599.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152600.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152601.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152602.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152603.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152604.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152605.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152606.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152607.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152608.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152609.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152610.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152611.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152612.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152613.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152614.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152615.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152616.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152617.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152618.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152619.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152620.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152621.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152622.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152623.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152624.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152625.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152626.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152627.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,152628.0
