bc/epoch_num,bc/ent_loss,bc/prob_true_act,bc/batch_num,bc/l2_loss,bc/loss,bc/l2_norm,bc/samples_so_far,bc/entropy,bc/neglogp
0,0.024458719417452812,194606285453.15588,1,0.0,-25.939210124679335,717.5780639648438,32,-24.458717346191406,-25.963668844096787
2,0.024590663611888885,224357991598.00452,501,0.0,-26.103206534206205,718.7347412109375,15998,-24.590662002563477,-26.127797197818094
4,0.024206174537539482,153377225706.82275,1001,0.0,-25.69970120043756,716.182861328125,31964,-24.206172943115234,-25.7239073749751
6,0.024261265993118286,161756994413.28757,1501,0.0,-25.76505782522151,715.8749389648438,47930,-24.26126480102539,-25.78931909121463
8,0.024288993328809738,174834903203.27264,2001,0.0,-25.80211639856469,715.80712890625,63896,-24.288991928100586,-25.8264053918935
10,0.024301446974277496,166196837804.67114,2501,0.0,-25.72934586727664,715.8854370117188,79862,-24.30144500732422,-25.753647314250916
12,0.024306174367666245,187267155320.80988,3001,0.0,-25.905723458298773,715.944091796875,95828,-24.30617332458496,-25.93002963266644
14,0.02431146800518036,180120707048.56628,3501,0.0,-25.860974058611138,716.0348510742188,111794,-24.311466217041016,-25.885285526616318
17,0.024324113503098488,165992354249.59906,4001,0.0,-25.75527338224903,716.375732421875,127743,-24.324111938476562,-25.779597495752128
19,0.024327894672751427,179202670934.06653,4501,0.0,-25.87186525676795,716.5811157226562,143709,-24.32789421081543,-25.896193151440702
21,0.024330297484993935,143689958353.39618,5001,0.0,-25.62368849741325,716.7318725585938,159675,-24.33029556274414,-25.648018794898245
23,0.024343080818653107,113989641162.58292,5501,0.0,-25.334055632890944,716.9839477539062,175641,-24.343080520629883,-25.358398713709597
25,0.024359431117773056,161216626403.0627,6001,0.0,-25.713943907685255,716.5213623046875,191607,-24.35943031311035,-25.73830333880303
27,0.024361727759242058,173812582436.264,6501,0.0,-25.83862159705092,715.7356567382812,207573,-24.361726760864258,-25.862983324810163
29,0.02438943274319172,181502273485.82312,7001,0.0,-25.88472678808479,715.975341796875,223539,-24.38943099975586,-25.909116220827983
31,0.024408474564552307,196561118987.2403,7501,0.0,-25.96527723491446,716.366943359375,239505,-24.40847396850586,-25.989685709479012
34,0.02442905865609646,187146295756.14752,8001,0.0,-25.864555636806692,717.144775390625,255454,-24.429058074951172,-25.88898469546279
36,0.024453263729810715,163960603376.9403,8501,0.0,-25.782079835139484,717.479248046875,271420,-24.453262329101562,-25.806533098869295
38,0.024492759257555008,94909173503.46463,9001,0.0,-25.081627066787625,717.95947265625,287386,-24.49275779724121,-25.10611982604518
40,0.024545693770051003,157143560387.4837,9501,0.0,-24.24919574083882,718.8377075195312,303352,-24.545692443847656,-24.273741434608873
42,0.024606820195913315,212629536697.93176,10001,0.0,-25.97664168716787,719.2993774414062,319318,-24.60681915283203,-26.001248507363783
44,0.0246715284883976,55047579109.60925,10501,0.0,-24.635962382361136,720.0333862304688,335284,-24.671527862548828,-24.660633910849533
46,0.02416188456118107,149569493566.08557,11001,0.0,-25.61835530267068,717.4381103515625,351250,-24.161884307861328,-25.64251718723186
48,0.024194737896323204,145233184090.2279,11501,0.0,-24.373041479639507,717.6044921875,367216,-24.19473648071289,-24.39723621753583
51,0.02422560192644596,158708395628.4958,12001,0.0,-25.73444668014419,717.9024658203125,383165,-24.225601196289062,-25.758672282070634
53,0.024250317364931107,153222342684.92294,12501,0.0,-25.705594190367094,718.2695922851562,399131,-24.250316619873047,-25.729844507732025
55,0.024263760074973106,118788733167.91986,13001,0.0,-25.44493165384034,718.8202514648438,415097,-24.26375961303711,-25.469195413915312
57,0.02425968088209629,35457733181.34862,13501,0.0,-24.205314426216585,719.1399536132812,431063,-24.259679794311523,-24.22957410709868
59,0.024246927350759506,1291576760.6302242,14001,0.0,-20.597910224045307,719.5292358398438,447029,-24.246925354003906,-20.622157151396067
61,0.024228520691394806,140127941476.0318,14501,0.0,-25.613040257225805,719.6895751953125,462995,-24.228519439697266,-25.6372687779172
63,0.02421361580491066,1096291573.8240695,15001,0.0,-19.69836175282969,719.7274169921875,478961,-24.21361541748047,-19.7225753686346
