raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,1.0868898243643343e-06,29858,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.9215797237848165e-06,29858,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.421353297511814e-07,29859,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.2517971299530473e-06,29859,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.8104664150087046e-06,29860,32.0,0.5,1.0,1.0,3.781954519076387e-10,32.0,0.5
1.0,1.1137660749227507e-06,29860,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.955047630683111e-08,29861,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.1668271326925606e-06,29861,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.235156841834396e-07,29862,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.8817677300830837e-06,29862,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.3479360632118187e-06,29863,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.003201363142579794,29863,32.0,0.5,1.0,1.0,0.007489811514890447,32.0,0.5
1.0,6.909937155796797e-08,29864,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.243684194691014e-07,29864,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.925366733412375e-07,29865,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.9624189917522017e-06,29865,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0025380831211805344,29866,32.0,0.5,1.0,1.0,0.00855640356937973,32.0,0.5
1.0,-5.037765617998957e-07,29866,32.0,0.5,1.0,1.0,3.2717336141509242e-09,32.0,0.5
1.0,-2.7168903216079343e-06,29867,32.0,0.5,1.0,1.0,2.526330276709763e-16,32.0,0.5
1.0,-8.487809282087255e-07,29867,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.1300239748379681e-06,29868,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.02956788497977e-07,29868,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.971813160002057e-07,29869,32.0,0.5,1.0,1.0,1.5337418224306356e-08,32.0,0.5
1.0,0.00039418984670192003,29869,32.0,0.5,1.0,1.0,0.0018275654181434267,32.0,0.5
