raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,-1.4844332326902077e-05,323520,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.774638313800097e-05,323520,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.645246422616765e-05,323521,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00014666994684375823,323521,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.940524038625881e-05,323522,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.4033105950802565e-05,323522,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.816091187531129e-05,323523,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.4649113735649735e-05,323523,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.074325599707663e-06,323524,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00020103952556382865,323524,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.8245052312267944e-05,323525,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.101675095735118e-05,323525,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00019314700330141932,323526,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.7921603507129475e-05,323526,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.923085260903463e-06,323527,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.583073602290824e-05,323527,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.304011913016438e-05,323528,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.4125583624700084e-05,323528,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.674776831350755e-05,323529,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.6399824744439684e-05,323529,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.1408300856128335e-05,323530,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.016029273159802e-05,323530,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010851937986444682,323531,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.099317786516622e-05,323531,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.4746627130080014e-05,323532,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00012242727098055184,323532,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010731340444181114,323533,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.785569035448134e-05,323533,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.805515396175906e-05,323534,32.0,0.5,1.0,1.0,0.0,32.0,0.5
