mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,7.897612476881477e-06,0.5,1.0,32.0,6.183949636806574e-07,1.0,1.0,0.5,11453.0
32.0,4.3688318669410364e-06,0.5,1.0,32.0,3.455184973688574e-07,1.0,1.0,0.5,11454.0
32.0,1.2074001915607369e-05,0.5,1.0,32.0,1.0235086165266694e-06,1.0,1.0,0.5,11455.0
32.0,1.2282275292818667e-05,0.5,1.0,32.0,9.87195051038725e-07,1.0,1.0,0.5,11456.0
32.0,4.006960011793126e-06,0.5,1.0,32.0,3.073352274896024e-07,1.0,1.0,0.5,11457.0
32.0,7.782126431266079e-06,0.5,1.0,32.0,6.295688308455283e-07,1.0,1.0,0.5,11458.0
32.0,1.380870935463463e-05,0.5,1.0,32.0,1.142722226177284e-06,1.0,1.0,0.5,11459.0
32.0,1.4439212918659905e-05,0.5,1.0,32.0,1.2069811532455788e-06,1.0,1.0,0.5,11460.0
32.0,1.5192653791018529e-05,0.5,1.0,32.0,1.2600675063367817e-06,1.0,1.0,0.5,11461.0
32.0,1.0612413007038413e-05,0.5,1.0,32.0,8.745037263224731e-07,1.0,1.0,0.5,11462.0
32.0,0.001195025153720053,0.5,1.0,32.0,0.00022857421464550498,1.0,1.0,0.5,11463.0
32.0,3.3484295272501186e-05,0.5,1.0,32.0,2.9364014153543394e-06,1.0,1.0,0.5,11464.0
32.0,2.6530517061473802e-05,0.5,1.0,32.0,2.3906345347768365e-06,1.0,1.0,0.5,11465.0
32.0,2.4025219317991287e-05,0.5,1.0,32.0,2.2471724605566124e-06,1.0,1.0,0.5,11466.0
32.0,5.619642251986079e-05,0.5,1.0,32.0,5.6293300758625264e-06,1.0,1.0,0.5,11467.0
32.0,4.814886960957665e-05,0.5,1.0,32.0,4.890799573331606e-06,1.0,1.0,0.5,11468.0
32.0,0.0001041847590386169,0.5,1.0,32.0,1.076565695257159e-05,1.0,1.0,0.5,11469.0
32.0,0.00010320526052964851,0.5,1.0,32.0,1.0609447144815931e-05,1.0,1.0,0.5,11470.0
32.0,8.942050772020593e-05,0.5,1.0,32.0,9.44597968555172e-06,1.0,1.0,0.5,11471.0
32.0,0.00015770197205711156,0.5,1.0,32.0,1.6956772924459074e-05,1.0,1.0,0.5,11472.0
32.0,0.00015861715655773878,0.5,1.0,32.0,1.6605355995125137e-05,1.0,1.0,0.5,11473.0
32.0,6.415622192434967e-05,0.5,1.0,32.0,6.581861953236512e-06,1.0,1.0,0.5,11474.0
32.0,6.002519694447983e-05,0.5,1.0,32.0,5.91162893215369e-06,1.0,1.0,0.5,11475.0
32.0,0.00010037035099230707,0.5,1.0,32.0,1.0214601388724986e-05,1.0,1.0,0.5,11476.0
32.0,8.469286149193067e-05,0.5,1.0,32.0,8.547927791369148e-06,1.0,1.0,0.5,11477.0
32.0,5.411331221694127e-05,0.5,1.0,32.0,5.200250143388985e-06,1.0,1.0,0.5,11478.0
32.0,3.861626646539662e-05,0.5,1.0,32.0,3.5314800470587215e-06,1.0,1.0,0.5,11479.0
32.0,4.128626073907071e-05,0.5,1.0,32.0,3.9066967048029255e-06,1.0,1.0,0.5,11480.0
32.0,4.150146014580969e-05,0.5,1.0,32.0,3.8387752283597365e-06,1.0,1.0,0.5,11481.0
32.0,5.5975731811486185e-05,0.5,1.0,32.0,5.661961495206924e-06,1.0,1.0,0.5,11482.0
32.0,1.3411925010586856e-05,0.5,1.0,32.0,1.2302255640861404e-06,1.0,1.0,0.5,11483.0
32.0,4.391360198496841e-05,0.5,1.0,32.0,4.008294126833789e-06,1.0,1.0,0.5,11484.0
32.0,2.3656485609535594e-05,0.5,1.0,32.0,2.0647036080845282e-06,1.0,1.0,0.5,11485.0
32.0,4.266557880328037e-05,0.5,1.0,32.0,3.9747139908286044e-06,1.0,1.0,0.5,11486.0
