raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,9.031095396494493e-05,373418,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.3258478904608637e-05,373418,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.61515150568448e-05,373419,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.839526445721276e-05,373419,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00022665395226795226,373420,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00018597644520923495,373420,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.847345841582865e-05,373421,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001996272912947461,373421,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.462832971010357e-06,373422,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00034995932946912944,373422,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00018675456522032619,373423,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.572153456043452e-05,373423,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.105276406742632e-05,373424,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.000275260244961828,373424,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00022585541591979563,373425,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.232371480204165e-05,373425,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.2044623619876802e-05,373426,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00018738604558166116,373426,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.005473500816151e-05,373427,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00026645720936357975,373427,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0001638057583477348,373428,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001268472260562703,373428,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00019929002155549824,373429,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00015104268095456064,373429,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0003700384695548564,373430,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.987421071855351e-05,373430,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.382098894799128e-05,373431,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00010167201980948448,373431,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00014846809790469706,373432,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00011636258568614721,373432,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.872242475859821e-05,373433,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00013069073611404747,373433,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0002782294759526849,373434,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00015442876610904932,373434,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.617432568920776e-05,373435,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.076911373995245e-05,373435,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.3793406803160906e-05,373436,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00021577213192358613,373436,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.7862329413183033e-05,373437,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.96771215996705e-05,373437,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.0004389895766507834,373438,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00010284537711413577,373438,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.543055208865553e-05,373439,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.5700177755206823e-05,373439,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0002660210011526942,373440,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.534995918627828e-05,373440,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00010955178731819615,373441,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.205234189517796e-05,373441,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.4250836102291942e-06,373442,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00044308387441560626,373442,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001737258571665734,373443,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-0.00030365647398866713,373443,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.0983352694893256e-05,373444,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00011424993863329291,373444,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,3.1504219805356115e-05,373445,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00012038279965054244,373445,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,7.563887629657984e-05,373446,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.895461410749704e-06,373446,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.75559786031954e-05,373447,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.195831545279361e-05,373447,32.0,0.5,1.0,1.0,0.0,32.0,0.5
