raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,-1.301162046729587e-05,211454,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.424438758287579e-06,211454,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.055151460604975e-05,211455,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.3252482757670805e-05,211455,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.98129086534027e-05,211456,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.115348565392196e-05,211456,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.0693691921187565e-05,211457,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.2947538127482403e-06,211457,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.851238478906453e-05,211458,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.5051216905703768e-05,211458,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.608245843788609e-05,211459,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.6945388021413237e-07,211459,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.5077966711251065e-05,211460,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00023680852609686553,211460,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001917057525133714,211461,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0005318838520906866,211461,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.0736442315392196e-05,211462,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.925885903299786e-05,211462,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.046604878269136e-05,211463,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.0001163030174211599,211463,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.783183299470693e-05,211464,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.4010096240090206e-05,211464,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,0.00010014741565100849,211465,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,4.934819298796356e-05,211465,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.0195704059442505e-05,211466,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.5959530830732547e-05,211466,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.166272502625361e-05,211467,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.467166819376871e-07,211467,32.0,0.5,1.0,1.0,0.0,32.0,0.5
