mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,8.833032916299999e-05,0.0,1.0,0.5,431496.0,32.0
1.0,32.0,0.5,1.0,0.000841415148897795,0.0,1.0,0.5,431497.0,32.0
1.0,32.0,0.5,1.0,0.0002098091645166278,0.0,1.0,0.5,431498.0,32.0
1.0,32.0,0.5,1.0,-0.0004958739809808321,0.0,1.0,0.5,431499.0,32.0
1.0,32.0,0.5,1.0,-3.7233432522043586e-05,0.0,1.0,0.5,431500.0,32.0
1.0,32.0,0.5,1.0,-0.00034206775308120996,0.0,1.0,0.5,431501.0,32.0
1.0,32.0,0.5,1.0,-3.6664947401732206e-05,0.0,1.0,0.5,431502.0,32.0
1.0,32.0,0.5,1.0,8.902433182811365e-05,0.0,1.0,0.5,431503.0,32.0
1.0,32.0,0.5,1.0,-0.0002368796049267985,0.0,1.0,0.5,431504.0,32.0
1.0,32.0,0.5,1.0,-4.49036160716787e-05,0.0,1.0,0.5,431505.0,32.0
1.0,32.0,0.5,1.0,-0.0002844627742888406,0.0,1.0,0.5,431506.0,32.0
1.0,32.0,0.5,1.0,0.0005356294350349344,0.0,1.0,0.5,431507.0,32.0
1.0,32.0,0.5,1.0,7.610233296873048e-06,0.0,1.0,0.5,431508.0,32.0
1.0,32.0,0.5,1.0,-0.0001780023485480342,0.0,1.0,0.5,431509.0,32.0
1.0,32.0,0.5,1.0,0.000922290790185798,0.0,1.0,0.5,431510.0,32.0
1.0,32.0,0.5,1.0,-0.0006255521439015865,0.0,1.0,0.5,431511.0,32.0
1.0,32.0,0.5,1.0,8.76813028298784e-05,0.0,1.0,0.5,431512.0,32.0
1.0,32.0,0.5,1.0,-0.0003085869175265543,0.0,1.0,0.5,431513.0,32.0
1.0,32.0,0.5,1.0,0.00020617220434360206,0.0,1.0,0.5,431514.0,32.0
1.0,32.0,0.5,1.0,0.0004778629372594878,0.0,1.0,0.5,431515.0,32.0
1.0,32.0,0.5,1.0,0.0002905132350861095,0.0,1.0,0.5,431516.0,32.0
1.0,32.0,0.5,1.0,0.0002149996507796459,0.0,1.0,0.5,431517.0,32.0
1.0,32.0,0.5,1.0,-0.001406037074048072,0.0,1.0,0.5,431518.0,32.0
1.0,32.0,0.5,1.0,0.0005200211453484371,0.0,1.0,0.5,431519.0,32.0
1.0,32.0,0.5,1.0,0.00019211907783756033,0.0,1.0,0.5,431520.0,32.0
1.0,32.0,0.5,1.0,-2.9504728445317596e-05,0.0,1.0,0.5,431521.0,32.0
1.0,32.0,0.5,1.0,-0.00016267715182038955,0.0,1.0,0.5,431522.0,32.0
1.0,32.0,0.5,1.0,0.0003557220370566938,0.0,1.0,0.5,431523.0,32.0
1.0,32.0,0.5,1.0,0.00041081074232351966,0.0,1.0,0.5,431524.0,32.0
1.0,32.0,0.5,1.0,-6.018695421516895e-05,0.0,1.0,0.5,431525.0,32.0
1.0,32.0,0.5,1.0,2.117401163559407e-05,0.0,1.0,0.5,431526.0,32.0
1.0,32.0,0.5,1.0,0.00032528855808777735,0.0,1.0,0.5,431527.0,32.0
1.0,32.0,0.5,1.0,0.00015991931286407635,0.0,1.0,0.5,431528.0,32.0
0.9921875,32.0,0.4921875,1.0,321.5484055384877,0.0,0.984375,0.5,431529.0,32.0
1.0,32.0,0.5,1.0,-0.0007755815895507112,0.0,1.0,0.5,431530.0,32.0
1.0,32.0,0.5,1.0,2.834433689713478e-05,0.0,1.0,0.5,431531.0,32.0
1.0,32.0,0.5,1.0,0.0004765045814565383,0.0,1.0,0.5,431532.0,32.0
1.0,32.0,0.5,1.0,0.0002831883539329283,0.0,1.0,0.5,431533.0,32.0
1.0,32.0,0.5,1.0,-0.0004140377131989226,0.0,1.0,0.5,431534.0,32.0
1.0,32.0,0.5,1.0,2.452752596582286e-05,0.0,1.0,0.5,431535.0,32.0
1.0,32.0,0.5,1.0,2.2742620785720646e-05,0.0,1.0,0.5,431536.0,32.0
1.0,32.0,0.5,1.0,7.707257464062423e-05,0.0,1.0,0.5,431537.0,32.0
1.0,32.0,0.5,1.0,-0.0002809619254549034,0.0,1.0,0.5,431538.0,32.0
1.0,32.0,0.5,1.0,-4.984924089512788e-05,0.0,1.0,0.5,431539.0,32.0
1.0,32.0,0.5,1.0,4.149988490098622e-05,0.0,1.0,0.5,431540.0,32.0
1.0,32.0,0.5,1.0,0.00010888607357628644,0.0,1.0,0.5,431541.0,32.0
1.0,32.0,0.5,1.0,0.00012627415708266199,0.0,1.0,0.5,431542.0,32.0
0.9765625,32.0,0.5234375,0.953125,5.741874933242798,0.0,1.0,0.5,431543.0,32.0
1.0,32.0,0.5,1.0,0.0008128118206514046,0.0,1.0,0.5,431544.0,32.0
1.0,32.0,0.5,1.0,0.000409438885981217,0.0,1.0,0.5,431545.0,32.0
1.0,32.0,0.5,1.0,-0.0001046293127728859,0.0,1.0,0.5,431546.0,32.0
1.0,32.0,0.5,1.0,-2.7727699489332736e-05,0.0,1.0,0.5,431547.0,32.0
1.0,32.0,0.5,1.0,0.0001999107626033947,0.0,1.0,0.5,431548.0,32.0
1.0,32.0,0.5,1.0,0.00015982026525307447,0.0,1.0,0.5,431549.0,32.0
1.0,32.0,0.5,1.0,6.766297155991197e-05,0.0,1.0,0.5,431550.0,32.0
1.0,32.0,0.5,1.0,6.2435312429443e-05,0.0,1.0,0.5,431551.0,32.0
1.0,32.0,0.5,1.0,0.0003034279798157513,0.0,1.0,0.5,431552.0,32.0
1.0,32.0,0.5,1.0,0.0004609053721651435,0.0,1.0,0.5,431553.0,32.0
1.0,32.0,0.5,1.0,0.00030825955036561936,0.0,1.0,0.5,431554.0,32.0
1.0,32.0,0.5,1.0,-0.00013907888205721974,0.0,1.0,0.5,431555.0,32.0
1.0,32.0,0.5,1.0,-1.6210469766519964e-06,0.0,1.0,0.5,431556.0,32.0
1.0,32.0,0.5,1.0,6.257820132304914e-05,0.0,1.0,0.5,431557.0,32.0
1.0,32.0,0.5,1.0,-0.0005933106440352276,0.0,1.0,0.5,431558.0,32.0
0.9921875,32.0,0.5078125,0.984375,31.676646747044288,0.0,1.0,0.5,431559.0,32.0
1.0,32.0,0.5,1.0,0.0006615119127673097,0.0,1.0,0.5,431560.0,32.0
1.0,32.0,0.5,1.0,0.0001197099918499589,0.0,1.0,0.5,431561.0,32.0
1.0,32.0,0.5,1.0,-0.00026755392900668085,0.0,1.0,0.5,431562.0,32.0
1.0,32.0,0.5,1.0,0.0001356991306238342,0.0,1.0,0.5,431563.0,32.0
1.0,32.0,0.5,1.0,0.0004608372983057052,0.0,1.0,0.5,431564.0,32.0
1.0,32.0,0.5,1.0,-2.847051655407995e-05,0.0,1.0,0.5,431565.0,32.0
1.0,32.0,0.5,1.0,0.0002713643407332711,0.0,1.0,0.5,431566.0,32.0
1.0,32.0,0.5,1.0,0.0003555280854925513,0.0,1.0,0.5,431567.0,32.0
1.0,32.0,0.5,1.0,-9.165974915958941e-05,0.0,1.0,0.5,431568.0,32.0
1.0,32.0,0.5,1.0,-0.00019171819440089166,0.0,1.0,0.5,431569.0,32.0
1.0,32.0,0.5,1.0,-5.940182745689526e-05,0.0,1.0,0.5,431570.0,32.0
1.0,32.0,0.5,1.0,0.00019305268506286666,0.0,1.0,0.5,431571.0,32.0
1.0,32.0,0.5,1.0,0.0003623123775469139,0.0,1.0,0.5,431572.0,32.0
1.0,32.0,0.5,1.0,0.00029201118741184473,0.0,1.0,0.5,431573.0,32.0
1.0,32.0,0.5,1.0,-0.0007100305665517226,0.0,1.0,0.5,431574.0,32.0
1.0,32.0,0.5,1.0,0.0005064937395218294,0.0,1.0,0.5,431575.0,32.0
1.0,32.0,0.5,1.0,-2.7975689590675756e-05,0.0,1.0,0.5,431576.0,32.0
1.0,32.0,0.5,1.0,0.0002638026671775151,0.0,1.0,0.5,431577.0,32.0
1.0,32.0,0.5,1.0,0.00023008140124147758,0.0,1.0,0.5,431578.0,32.0
1.0,32.0,0.5,1.0,0.00045790672083967365,0.0,1.0,0.5,431579.0,32.0
1.0,32.0,0.5,1.0,-0.00035868330451194197,0.0,1.0,0.5,431580.0,32.0
1.0,32.0,0.5,1.0,0.00017260556342080235,0.0,1.0,0.5,431581.0,32.0
1.0,32.0,0.5,1.0,-0.0005439247033791617,0.0,1.0,0.5,431582.0,32.0
1.0,32.0,0.5,1.0,-0.0004064831809955649,0.0,1.0,0.5,431583.0,32.0
1.0,32.0,0.5,1.0,-0.00012944209447596222,0.0,1.0,0.5,431584.0,32.0
1.0,32.0,0.5,1.0,0.00012435523240128532,0.0,1.0,0.5,431585.0,32.0
1.0,32.0,0.5,1.0,0.00041872632573358715,0.0,1.0,0.5,431586.0,32.0
1.0,32.0,0.5,1.0,-0.0006749922504241113,0.0,1.0,0.5,431587.0,32.0
0.9765625,32.0,0.5234375,0.953125,30.70369295599812,0.0,1.0,0.5,431588.0,32.0
1.0,32.0,0.5,1.0,0.0002240258145320695,0.0,1.0,0.5,431589.0,32.0
1.0,32.0,0.5,1.0,0.0004197913731331937,0.0,1.0,0.5,431590.0,32.0
0.9921875,32.0,0.5078125,0.984375,2.9835424781485926,0.0,1.0,0.5,431591.0,32.0
1.0,32.0,0.5,1.0,-0.0002930709961219691,0.0,1.0,0.5,431592.0,32.0
1.0,32.0,0.5,1.0,0.0004883141082245857,0.0,1.0,0.5,431593.0,32.0
0.9921875,32.0,0.5078125,0.984375,6.576884092472028,0.0,1.0,0.5,431594.0,32.0
1.0,32.0,0.5,1.0,0.00021844702860107645,0.0,1.0,0.5,431595.0,32.0
1.0,32.0,0.5,1.0,5.2561910706572235e-05,0.0,1.0,0.5,431596.0,32.0
0.9765625,32.0,0.5234375,0.953125,21.895537734031677,3.004685042439477e-12,1.0,0.5,431597.0,32.0
