mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109204.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109205.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109206.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109207.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109208.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109209.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109210.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109211.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109212.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109213.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109214.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109215.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109216.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109217.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109218.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109219.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109220.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109221.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109222.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109223.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109224.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109225.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109226.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109227.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109228.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109229.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109230.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109231.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109232.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109233.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109234.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109235.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109236.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109237.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109238.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109239.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109240.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109241.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109242.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109243.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109244.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109245.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109246.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109247.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109248.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109249.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109250.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109251.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109252.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109253.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109254.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109255.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109256.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109257.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109258.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109259.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109260.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109261.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109262.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109263.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109264.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109265.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109266.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109267.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109268.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109269.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109270.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109271.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109272.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109273.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109274.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109275.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109276.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109277.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109278.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109279.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109280.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109281.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109282.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109283.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109284.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109285.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109286.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109287.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109288.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109289.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109290.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109291.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109292.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,109293.0
