raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,42128,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42128,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42129,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42129,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42130,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42130,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42131,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42131,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42132,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42132,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42133,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42133,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42134,1.0,32.0,32.0,0.0,5.960464477539063e-08,1.0,1.0,0.5
0.5,42134,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42135,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42135,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42136,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42136,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42137,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42137,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42138,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42138,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42139,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42139,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42140,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42140,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42141,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42141,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42142,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42142,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42143,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42143,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42144,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42144,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42145,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42145,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42146,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42146,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42147,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42147,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42148,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42148,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42149,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42149,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42150,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,42150,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42151,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42151,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42152,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,42152,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42153,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42153,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42154,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42154,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42155,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42155,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42156,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42156,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42157,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42157,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42158,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42158,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42159,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42159,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42160,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42160,1.0,32.0,32.0,5.587935003603661e-09,9.499490261077881e-08,1.0,1.0,0.5
0.5,42161,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42161,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42162,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42162,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42163,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42163,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42164,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42164,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42165,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42165,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42166,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42166,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42167,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42167,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42168,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42168,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42169,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42169,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42170,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42170,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42171,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42171,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42172,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42172,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42173,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42173,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42174,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42174,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42175,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42175,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42176,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42176,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42177,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42177,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42178,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42178,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42179,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42179,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42180,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42180,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42181,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42181,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42182,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42182,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42183,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42183,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42184,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42184,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42185,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42185,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42186,1.0,32.0,32.0,1.8626450382086546e-09,3.166496753692627e-08,1.0,1.0,0.5
0.5,42186,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42187,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42187,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42188,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42188,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42189,1.0,32.0,32.0,0.0,2.9802322387695312e-08,1.0,1.0,0.5
0.5,42189,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42190,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42190,1.0,32.0,32.0,1.8626450382086546e-09,6.146728992462158e-08,1.0,1.0,0.5
0.5,42191,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42191,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,42192,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
