mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,1.3838162971069323e-07,6.623045509427233e-09,1.0,0.5,25359.0,32.0
1.0,32.0,0.5,1.0,6.791941586925532e-08,6.868477779364664e-09,1.0,0.5,25360.0,32.0
1.0,32.0,0.5,1.0,4.05461591412859e-07,5.134202043531349e-09,1.0,0.5,25361.0,32.0
1.0,32.0,0.5,1.0,-6.665709406661335e-08,1.3541355352765985e-08,1.0,0.5,25362.0,32.0
1.0,32.0,0.5,1.0,5.584986269013825e-07,2.1314996534255703e-08,1.0,0.5,25363.0,32.0
1.0,32.0,0.5,1.0,8.053115720940696e-07,3.9851901498381414e-09,1.0,0.5,25364.0,32.0
1.0,32.0,0.5,1.0,-1.2473219612729736e-07,1.409240728279486e-11,1.0,0.5,25365.0,32.0
1.0,32.0,0.5,1.0,3.271922537351202e-07,3.5832878140856017e-09,1.0,0.5,25366.0,32.0
1.0,32.0,0.5,1.0,3.5839758538713795e-07,1.543910633266356e-09,1.0,0.5,25367.0,32.0
1.0,32.0,0.5,1.0,5.435221197558349e-07,1.5412902350245835e-09,1.0,0.5,25368.0,32.0
1.0,32.0,0.5,1.0,4.32576470643653e-07,6.359596500037814e-09,1.0,0.5,25369.0,32.0
1.0,32.0,0.5,1.0,3.193228508280299e-07,6.046459897589828e-09,1.0,0.5,25370.0,32.0
1.0,32.0,0.5,1.0,-3.8329218909893825e-07,1.883562873500768e-09,1.0,0.5,25371.0,32.0
1.0,32.0,0.5,1.0,-2.1142838591003965e-07,1.6634571825096443e-09,1.0,0.5,25372.0,32.0
1.0,32.0,0.5,1.0,2.2106101482677332e-07,8.232091138206826e-08,1.0,0.5,25373.0,32.0
1.0,32.0,0.5,1.0,1.208113076245354e-07,1.4823947040908312e-08,1.0,0.5,25374.0,32.0
1.0,32.0,0.5,1.0,2.9218875141623357e-07,7.77517292595182e-10,1.0,0.5,25375.0,32.0
1.0,32.0,0.5,1.0,1.3982527491407382e-07,1.6596696998432915e-09,1.0,0.5,25376.0,32.0
1.0,32.0,0.5,1.0,3.43246199463465e-07,2.034953137797403e-09,1.0,0.5,25377.0,32.0
1.0,32.0,0.5,1.0,7.197737090791634e-07,1.7347695444494484e-10,1.0,0.5,25378.0,32.0
1.0,32.0,0.5,1.0,4.293633537599817e-08,2.6686074508275797e-09,1.0,0.5,25379.0,32.0
1.0,32.0,0.5,1.0,-5.7411057241552044e-08,5.899800787433301e-09,1.0,0.5,25380.0,32.0
1.0,32.0,0.5,1.0,-5.31824071003939e-07,2.0356585105516964e-07,1.0,0.5,25381.0,32.0
1.0,32.0,0.5,1.0,-1.9301364773127716e-07,1.7449817490792625e-07,1.0,0.5,25382.0,32.0
1.0,32.0,0.5,1.0,-8.18986549688816e-08,6.433310175385375e-07,1.0,0.5,25383.0,32.0
1.0,32.0,0.5,1.0,1.010953099012113e-07,1.5075056562646984e-06,1.0,0.5,25384.0,32.0
1.0,32.0,0.5,1.0,-6.803068473004714e-07,2.744697052588252e-06,1.0,0.5,25385.0,32.0
1.0,32.0,0.5,1.0,-3.858553725422098e-07,7.736777489088931e-07,1.0,0.5,25386.0,32.0
1.0,32.0,0.5,1.0,6.124311298094653e-07,5.060042483244674e-06,1.0,0.5,25387.0,32.0
1.0,32.0,0.5,1.0,-1.3997968295598184e-07,8.006707094397394e-07,1.0,0.5,25388.0,32.0
1.0,32.0,0.5,1.0,-2.4640447549018063e-07,1.465716008027577e-07,1.0,0.5,25389.0,32.0
1.0,32.0,0.5,1.0,-7.496412877117109e-07,4.713508829546527e-09,1.0,0.5,25390.0,32.0
