raw/disc/disc_proportion_expert_pred,raw/disc/global_step,raw/disc/disc_acc,raw/disc/n_generated,raw/disc/n_expert,raw/disc/disc_loss,raw/disc/disc_entropy,raw/disc/disc_acc_expert,raw/disc/disc_acc_gen,raw/disc/disc_proportion_expert_true
0.5,198405,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198405,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198406,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198406,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198407,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198407,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198408,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198408,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198409,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198409,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198410,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198410,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198411,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198411,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198412,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198412,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198413,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198413,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198414,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198414,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198415,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198415,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198416,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198416,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198417,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198417,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198418,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198418,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198419,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198419,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198420,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198420,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198421,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198421,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198422,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198422,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198423,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198423,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198424,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198424,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198425,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198425,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198426,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198426,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198427,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198427,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198428,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198428,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198429,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198429,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198430,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198430,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198431,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198431,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198432,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198432,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198433,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198433,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198434,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198434,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198435,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198435,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198436,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198436,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198437,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198437,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198438,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198438,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198439,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198439,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198440,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198440,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198441,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198441,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198442,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198442,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198443,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198443,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198444,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198444,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198445,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198445,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198446,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198446,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198447,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198447,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198448,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198448,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198449,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198449,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198450,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198450,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198451,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198451,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
0.5,198452,1.0,32.0,32.0,0.0,0.0,1.0,1.0,0.5
