mean/disc/disc_acc,mean/disc/n_generated,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc_gen,mean/disc/disc_loss,mean/disc/disc_entropy,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step,mean/disc/n_expert
1.0,32.0,0.5,1.0,-0.00012827760656364262,0.0,1.0,0.5,378326.0,32.0
1.0,32.0,0.5,1.0,-0.00013983344251755625,0.0,1.0,0.5,378327.0,32.0
1.0,32.0,0.5,1.0,-3.8392076021409594e-05,0.0,1.0,0.5,378328.0,32.0
1.0,32.0,0.5,1.0,2.997384945047088e-05,0.0,1.0,0.5,378329.0,32.0
1.0,32.0,0.5,1.0,-1.8049526261165738e-05,0.0,1.0,0.5,378330.0,32.0
1.0,32.0,0.5,1.0,5.299537588143721e-05,0.0,1.0,0.5,378331.0,32.0
1.0,32.0,0.5,1.0,0.00024711403966648504,0.0,1.0,0.5,378332.0,32.0
1.0,32.0,0.5,1.0,-7.84372205089312e-05,0.0,1.0,0.5,378333.0,32.0
1.0,32.0,0.5,1.0,-2.5772318622330204e-05,0.0,1.0,0.5,378334.0,32.0
1.0,32.0,0.5,1.0,-9.826077803154476e-05,0.0,1.0,0.5,378335.0,32.0
1.0,32.0,0.5,1.0,-2.4106706405291334e-05,0.0,1.0,0.5,378336.0,32.0
1.0,32.0,0.5,1.0,-8.776103641139343e-05,0.0,1.0,0.5,378337.0,32.0
1.0,32.0,0.5,1.0,-2.1943247702438384e-05,0.0,1.0,0.5,378338.0,32.0
1.0,32.0,0.5,1.0,-0.00011827988782897592,0.0,1.0,0.5,378339.0,32.0
1.0,32.0,0.5,1.0,7.001481571933255e-05,0.0,1.0,0.5,378340.0,32.0
1.0,32.0,0.5,1.0,-5.627471546176821e-05,0.0,1.0,0.5,378341.0,32.0
1.0,32.0,0.5,1.0,-6.988774111960083e-05,0.0,1.0,0.5,378342.0,32.0
1.0,32.0,0.5,1.0,-9.848532499745488e-05,0.0,1.0,0.5,378343.0,32.0
1.0,32.0,0.5,1.0,-1.0101422958541662e-05,0.0,1.0,0.5,378344.0,32.0
1.0,32.0,0.5,1.0,6.035232217982411e-06,0.0,1.0,0.5,378345.0,32.0
1.0,32.0,0.5,1.0,0.0003258213182562031,0.0,1.0,0.5,378346.0,32.0
1.0,32.0,0.5,1.0,-0.00025519113114569336,0.0,1.0,0.5,378347.0,32.0
