raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,9.412492545379791e-07,47445,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.8893637161454535e-06,47445,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.6075773601187393e-08,47446,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.980751449082163e-06,47446,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.5668457460124046e-06,47447,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.063728970824741e-06,47447,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.3413787099998444e-06,47448,32.0,0.5,1.0,1.0,1.7566508964788377e-08,32.0,0.5
1.0,-8.205527137761237e-07,47448,32.0,0.5,1.0,1.0,1.2477797766191652e-09,32.0,0.5
1.0,-2.4238120204245206e-06,47449,32.0,0.5,1.0,1.0,1.7334332526990175e-12,32.0,0.5
1.0,1.1844407481476082e-06,47449,32.0,0.5,1.0,1.0,1.7256981290954921e-12,32.0,0.5
1.0,-1.6344290543202078e-06,47450,32.0,0.5,1.0,1.0,1.7232166107359477e-09,32.0,0.5
1.0,-4.961876811648835e-07,47450,32.0,0.5,1.0,1.0,1.7174309511006037e-09,32.0,0.5
1.0,1.4187620536176837e-06,47451,32.0,0.5,1.0,1.0,1.8137993392815577e-05,32.0,0.5
1.0,1.4801499901295756e-06,47451,32.0,0.5,1.0,1.0,2.3826962407975594e-05,32.0,0.5
1.0,-3.158561867167009e-06,47452,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.931741609150777e-06,47452,32.0,0.5,1.0,1.0,2.8521225581762966e-05,32.0,0.5
1.0,3.5435165045782924e-05,47453,32.0,0.5,1.0,1.0,0.0002596970225843064,32.0,0.5
1.0,-8.195172540581552e-07,47453,32.0,0.5,1.0,1.0,1.7798732725768164e-13,32.0,0.5
0.875,0.15284526348114014,47454,32.0,0.5,1.0,0.9375,0.04702797584146583,32.0,0.5625
1.0,-2.3478730781789636e-06,47454,32.0,0.5,1.0,1.0,9.428056101988881e-07,32.0,0.5
1.0,-3.0666635666420916e-06,47455,32.0,0.5,1.0,1.0,8.074392434077068e-15,32.0,0.5
1.0,1.5321821820180048e-06,47455,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.052980789812864e-06,47456,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.269252720703662e-06,47456,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-3.171702758208994e-07,47457,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.2181620806804858e-07,47457,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.2771046133129857e-06,47458,32.0,0.5,1.0,1.0,1.3405943022348759e-14,32.0,0.5
1.0,3.8820644476800226e-06,47458,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.3963049241283443e-06,47459,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.2440833618020406e-06,47459,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-7.120245868463826e-07,47460,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.4454758456849959e-06,47460,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.701991424051812e-07,47461,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.4055391349975253e-06,47461,32.0,0.5,1.0,1.0,0.0,32.0,0.5
