mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114930.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114931.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114932.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114933.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114934.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114935.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114936.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114937.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114938.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114939.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114940.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114941.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114942.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114943.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114944.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114945.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114946.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114947.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114948.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114949.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114950.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114951.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114952.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114953.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114954.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114955.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114956.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114957.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114958.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114959.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114960.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114961.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114962.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114963.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114964.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114965.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114966.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114967.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114968.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114969.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114970.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114971.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114972.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114973.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114974.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114975.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114976.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114977.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114978.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114979.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114980.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114981.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114982.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114983.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114984.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114985.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114986.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114987.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114988.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114989.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114990.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114991.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114992.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114993.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114994.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114995.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114996.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114997.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114998.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,114999.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115000.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115001.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115002.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115003.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115004.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115005.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115006.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115007.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115008.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115009.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115010.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115011.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115012.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115013.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115014.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115015.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115016.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115017.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115018.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115019.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115020.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115021.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115022.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115023.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115024.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115025.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115026.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115027.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115028.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115029.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115030.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115031.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115032.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115033.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115034.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115035.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115036.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115037.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115038.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115039.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115040.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115041.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115042.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115043.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115044.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115045.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115046.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115047.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115048.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115049.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115050.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115051.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115052.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115053.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115054.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115055.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115056.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115057.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115058.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115059.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115060.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115061.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115062.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115063.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115064.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115065.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115066.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115067.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115068.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115069.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115070.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115071.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115072.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115073.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115074.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115075.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115076.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115077.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115078.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115079.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115080.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115081.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115082.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,115083.0
