mean/disc/n_generated,mean/disc/disc_entropy,mean/disc/disc_proportion_expert_pred,mean/disc/disc_acc,mean/disc/n_expert,mean/disc/disc_loss,mean/disc/disc_acc_gen,mean/disc/disc_acc_expert,mean/disc/disc_proportion_expert_true,mean/disc/global_step
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148059.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148060.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148061.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148062.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148063.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148064.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148065.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148066.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148067.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148068.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148069.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148070.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148071.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148072.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148073.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148074.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148075.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148076.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148077.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148078.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148079.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148080.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148081.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148082.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148083.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148084.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148085.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148086.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148087.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148088.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148089.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148090.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148091.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148092.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148093.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148094.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148095.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148096.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148097.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148098.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148099.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148100.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148101.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148102.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148103.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148104.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148105.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148106.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148107.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148108.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148109.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148110.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148111.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148112.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148113.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148114.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148115.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148116.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148117.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148118.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148119.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148120.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148121.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148122.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148123.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148124.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148125.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148126.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148127.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148128.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148129.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148130.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148131.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148132.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148133.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148134.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148135.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148136.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148137.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148138.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148139.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148140.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148141.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148142.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148143.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148144.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148145.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148146.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148147.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148148.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148149.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148150.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148151.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148152.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148153.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148154.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148155.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148156.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148157.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148158.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148159.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148160.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148161.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148162.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148163.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148164.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148165.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148166.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148167.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148168.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148169.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148170.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148171.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148172.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148173.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148174.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148175.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148176.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148177.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148178.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148179.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148180.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148181.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148182.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148183.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148184.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148185.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148186.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148187.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148188.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148189.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148190.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148191.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148192.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148193.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148194.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148195.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148196.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148197.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148198.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148199.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148200.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148201.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148202.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148203.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148204.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148205.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148206.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148207.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148208.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148209.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148210.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148211.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148212.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148213.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148214.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148215.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148216.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148217.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148218.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148219.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148220.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148221.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148222.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148223.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148224.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148225.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148226.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148227.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148228.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148229.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148230.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148231.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148232.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148233.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148234.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148235.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148236.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148237.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148238.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148239.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148240.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148241.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148242.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148243.0
32.0,0.0,0.5,1.0,32.0,0.0,1.0,1.0,0.5,148244.0
