raw/disc/disc_acc_gen,raw/disc/disc_loss,raw/disc/global_step,raw/disc/n_generated,raw/disc/disc_proportion_expert_true,raw/disc/disc_acc_expert,raw/disc/disc_acc,raw/disc/disc_entropy,raw/disc/n_expert,raw/disc/disc_proportion_expert_pred
1.0,-5.248635716270655e-06,90390,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,9.14675274543697e-06,90390,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.725088729173876e-06,90391,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.1175607141922228e-05,90391,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,6.470136668212945e-06,90392,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.0970611583616119e-06,90392,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.018632701743627e-05,90393,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.592576882103458e-05,90393,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.0350878912722692e-05,90394,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.4290690160123631e-05,90394,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-4.4471671571955085e-06,90395,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.3830745047016535e-06,90395,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.1230443305976223e-05,90396,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.2107983820897061e-05,90396,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.926422090851702e-06,90397,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.540049187402474e-06,90397,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.056377300301392e-06,90398,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.5093896763573866e-05,90398,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.4073015083558857e-05,90399,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.826541847549379e-05,90399,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-5.951837920292746e-07,90400,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,2.397910247964319e-05,90400,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.7322259736829437e-05,90401,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.544956810714211e-06,90401,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.2620995878241956e-05,90402,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-1.3179689631215297e-05,90402,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.2668968995276373e-06,90403,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-2.840066372300498e-06,90403,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.61780335981166e-06,90404,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,8.328252079081722e-06,90404,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.391715709876735e-06,90405,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-8.678909580339678e-06,90405,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-6.8657664087368175e-06,90406,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.3190688150643837e-05,90406,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,1.0201173608948011e-05,90407,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,5.14793282491155e-06,90407,32.0,0.5,1.0,1.0,0.0,32.0,0.5
1.0,-9.295250492868945e-06,90408,32.0,0.5,1.0,1.0,0.0,32.0,0.5
